time,ambient_temperature,relative_humidity,weather_condition
2022-01-09 00:56:00,7,40,Cloudy
2022-01-09 01:56:00,7,42,Cloudy
2022-01-09 02:56:00,7,45,Cloudy
2022-01-09 03:56:00,6,49,Mostly Cloudy
2022-01-09 04:56:00,6,51,Mostly Cloudy
2022-01-09 05:56:00,6,53,Mostly Cloudy
2022-01-09 06:56:00,6,53,Mostly Cloudy
2022-01-09 07:56:00,6,56,Mostly Cloudy
2022-01-09 08:56:00,8,51,Mostly Cloudy
2022-01-09 09:56:00,9,52,Mostly Cloudy
2022-01-09 10:56:00,11,52,Mostly Cloudy
2022-01-09 11:56:00,13,51,Mostly Cloudy
2022-01-09 12:56:00,16,52,Mostly Cloudy
2022-01-09 13:56:00,19,61,Mostly Cloudy
2022-01-09 14:56:00,21,58,Mostly Cloudy
2022-01-09 15:56:00,22,57,Mostly Cloudy
2022-01-09 16:56:00,21,59,Mostly Cloudy
2022-01-09 17:56:00,20,63,Cloudy
2022-01-09 18:56:00,19,70,Mostly Cloudy
2022-01-09 19:56:00,19,75,Light Rain
2022-01-09 20:12:00,15,90,Heavy Rain / Windy
2022-01-09 20:14:00,14,90,Heavy Rain / Windy
2022-01-09 20:25:00,13,90,Heavy Rain
2022-01-09 20:32:00,13,93,Heavy Rain
2022-01-09 20:46:00,13,93,Light Rain
2022-01-09 20:56:00,13,96,Rain
2022-01-09 21:56:00,13,96,Light Rain
2022-01-09 22:56:00,13,93,Cloudy
2022-01-09 23:08:00,13,93,Cloudy
2022-01-09 23:56:00,14,93,Cloudy
