time,ambient_temperature,relative_humidity,weather_condition
2024-01-23 00:56:00,7,53,Cloudy
2024-01-23 01:56:00,7,56,Cloudy
2024-01-23 02:56:00,7,60,Cloudy
2024-01-23 03:56:00,7,58,Cloudy
2024-01-23 04:56:00,7,60,Cloudy
2024-01-23 05:56:00,7,71,Cloudy
2024-01-23 06:56:00,7,71,Light Rain
2024-01-23 07:56:00,7,71,Haze
2024-01-23 08:56:00,7,76,Cloudy
2024-01-23 09:56:00,8,73,Haze
2024-01-23 10:56:00,9,71,Mostly Cloudy
2024-01-23 11:56:00,11,71,Mostly Cloudy
2024-01-23 12:56:00,12,71,Mostly Cloudy
2024-01-23 13:56:00,12,75,Cloudy
2024-01-23 14:56:00,14,72,Mostly Cloudy
2024-01-23 15:56:00,13,75,Light Rain
2024-01-23 16:56:00,13,77,Mostly Cloudy
2024-01-23 17:56:00,13,80,Light Rain
2024-01-23 18:56:00,12,83,Cloudy
2024-01-23 19:56:00,12,83,Cloudy
2024-01-23 20:56:00,12,86,Cloudy
2024-01-23 21:56:00,12,89,Cloudy
2024-01-23 22:56:00,12,93,Cloudy
2024-01-23 23:56:00,12,93,Cloudy
