time,ambient_temperature,relative_humidity,weather_condition
2024-03-09 00:43:00,12,97,Light Rain
2024-03-09 00:56:00,12,97,Light Rain
2024-03-09 01:18:00,12,97,Light Rain
2024-03-09 01:56:00,12,100,Cloudy
2024-03-09 02:56:00,13,100,Cloudy
2024-03-09 03:56:00,13,100,Light Rain
2024-03-09 04:56:00,14,100,Rain
2024-03-09 05:56:00,14,100,Heavy Rain
2024-03-09 06:56:00,16,100,Light Rain
2024-03-09 07:56:00,17,100,Cloudy
2024-03-09 08:22:00,18,96,Cloudy
2024-03-09 08:56:00,18,100,Cloudy
2024-03-09 09:38:00,20,93,Cloudy
2024-03-09 09:56:00,20,96,Light Rain
2024-03-09 10:19:00,21,96,Mist
2024-03-09 10:35:00,21,93,Cloudy
2024-03-09 10:56:00,22,90,Cloudy
2024-03-09 11:39:00,23,84,Cloudy
2024-03-09 11:56:00,23,81,Cloudy
2024-03-09 12:20:00,23,79,Cloudy / Windy
2024-03-09 12:49:00,24,73,Cloudy
2024-03-09 12:56:00,24,73,Cloudy / Windy
2024-03-09 13:29:00,24,71,Mostly Cloudy
2024-03-09 13:56:00,24,71,Mostly Cloudy
2024-03-09 14:56:00,24,71,Mostly Cloudy
2024-03-09 15:56:00,24,76,Cloudy
2024-03-09 16:39:00,21,84,Haze
2024-03-09 16:56:00,21,87,Mostly Cloudy
2024-03-09 17:56:00,20,84,Mostly Cloudy
2024-03-09 18:56:00,19,84,Mostly Cloudy
2024-03-09 19:56:00,18,84,Partly Cloudy
2024-03-09 20:56:00,19,70,Partly Cloudy
2024-03-09 21:56:00,18,75,Fair
2024-03-09 22:56:00,18,75,Fair
2024-03-09 23:56:00,17,78,Mostly Cloudy
