time,ambient_temperature,relative_humidity,weather_condition
2024-03-30 00:56:00,11,54,Fair
2024-03-30 01:56:00,12,50,Fair
2024-03-30 02:56:00,12,47,Fair
2024-03-30 03:56:00,11,50,Fair
2024-03-30 04:56:00,10,54,Fair
2024-03-30 05:56:00,10,57,Fair
2024-03-30 06:56:00,10,59,Partly Cloudy
2024-03-30 07:56:00,10,61,Cloudy
2024-03-30 08:56:00,13,51,Mostly Cloudy
2024-03-30 09:56:00,17,41,Fair
2024-03-30 10:56:00,20,35,Fair
2024-03-30 11:56:00,23,29,Fair
2024-03-30 12:56:00,24,23,Fair
2024-03-30 13:56:00,25,22,Fair
2024-03-30 14:56:00,26,21,Fair / Windy
2024-03-30 15:56:00,26,23,Fair
2024-03-30 16:56:00,26,22,Fair
2024-03-30 17:56:00,26,24,Fair
2024-03-30 18:56:00,24,25,Fair
2024-03-30 19:56:00,22,31,Fair
2024-03-30 20:56:00,18,43,Fair
2024-03-30 21:56:00,16,50,Fair
2024-03-30 22:56:00,18,41,Fair
2024-03-30 23:56:00,17,43,Fair
