time,ambient_temperature,relative_humidity,weather_condition
2022-11-05 00:56:00,18,93,Partly Cloudy
2022-11-05 01:56:00,18,100,Fair
2022-11-05 02:35:00,18,97,Mostly Cloudy
2022-11-05 02:56:00,17,100,Cloudy
2022-11-05 03:56:00,18,100,Cloudy
2022-11-05 04:56:00,18,100,Cloudy
2022-11-05 05:56:00,18,100,Cloudy
2022-11-05 06:44:00,18,100,Fog
2022-11-05 06:54:00,18,100,Fog
2022-11-05 06:55:00,18,100,Fog
2022-11-05 07:26:00,18,100,Fog
2022-11-05 07:56:00,18,100,Fog
2022-11-05 08:19:00,19,100,Fog
2022-11-05 08:56:00,19,100,Fog
2022-11-05 09:09:00,19,100,Fog
2022-11-05 09:50:00,19,100,Fog
2022-11-05 09:56:00,19,100,Fog
2022-11-05 10:14:00,20,100,Fog
2022-11-05 10:34:00,20,100,Cloudy
2022-11-05 10:56:00,21,100,Mostly Cloudy
2022-11-05 11:12:00,23,84,Mostly Cloudy
2022-11-05 11:40:00,24,79,Mostly Cloudy
2022-11-05 11:56:00,24,79,Mostly Cloudy
2022-11-05 12:36:00,26,69,Mostly Cloudy
2022-11-05 12:56:00,27,64,Mostly Cloudy
2022-11-05 13:56:00,28,53,Mostly Cloudy
2022-11-05 14:56:00,28,53,Mostly Cloudy
2022-11-05 15:56:00,28,51,Mostly Cloudy
2022-11-05 16:56:00,27,52,Mostly Cloudy
2022-11-05 17:56:00,26,62,Cloudy
2022-11-05 18:56:00,24,69,Mostly Cloudy
2022-11-05 19:56:00,23,81,Cloudy
2022-11-05 20:56:00,23,84,Cloudy
2022-11-05 21:56:00,22,91,Rain
2022-11-05 22:02:00,22,91,Heavy Rain
2022-11-05 22:16:00,22,96,Light Rain
2022-11-05 22:56:00,22,96,Mostly Cloudy
2022-11-05 23:56:00,22,96,Mostly Cloudy
