time,ambient_temperature,relative_humidity,weather_condition
2022-11-03 00:56:00,17,80,Partly Cloudy
2022-11-03 01:56:00,17,80,Fair
2022-11-03 02:56:00,17,78,Fair
2022-11-03 03:56:00,15,87,Fair
2022-11-03 04:56:00,15,87,Fair
2022-11-03 05:56:00,14,93,Fair
2022-11-03 06:56:00,13,93,Fair
2022-11-03 07:56:00,13,93,Fair
2022-11-03 08:56:00,15,87,Patches of Fog
2022-11-03 09:56:00,17,78,Patches of Fog
2022-11-03 10:56:00,19,70,Patches of Fog
2022-11-03 11:56:00,20,65,Fair
2022-11-03 12:56:00,21,59,Partly Cloudy
2022-11-03 13:56:00,23,55,Partly Cloudy
2022-11-03 14:56:00,23,53,Partly Cloudy
2022-11-03 15:56:00,23,50,Fair
2022-11-03 16:56:00,23,50,Fair
2022-11-03 17:56:00,23,51,Fair
2022-11-03 18:56:00,21,57,Fair
2022-11-03 19:56:00,19,66,Fair
2022-11-03 20:56:00,17,75,Fair
2022-11-03 21:56:00,16,78,Fair
2022-11-03 22:56:00,13,90,Fair
2022-11-03 23:56:00,13,89,Fair
