time,ambient_temperature,relative_humidity,weather_condition
2024-01-17 00:56:00,1,50,Partly Cloudy
2024-01-17 01:56:00,0,52,Fair
2024-01-17 02:56:00,-1,51,Fair
2024-01-17 03:56:00,-2,58,Fair
2024-01-17 04:56:00,-3,58,Fair
2024-01-17 05:56:00,-3,60,Fair
2024-01-17 06:56:00,-4,63,Fair
2024-01-17 07:56:00,-4,63,Fair
2024-01-17 08:56:00,-2,49,Fair
2024-01-17 09:56:00,-1,45,Fair
2024-01-17 10:56:00,1,43,Fair
2024-01-17 11:56:00,2,44,Fair
2024-01-17 12:56:00,3,36,Fair
2024-01-17 13:56:00,5,31,Fair
2024-01-17 14:56:00,6,27,Fair
2024-01-17 15:56:00,6,27,Fair
2024-01-17 16:56:00,6,31,Fair
2024-01-17 17:56:00,4,38,Partly Cloudy
2024-01-17 18:56:00,2,50,Partly Cloudy
2024-01-17 19:56:00,-1,69,Partly Cloudy
2024-01-17 20:56:00,-2,75,Fair
2024-01-17 21:56:00,-2,75,Fair
2024-01-17 22:56:00,-3,78,Fair
2024-01-17 23:56:00,-3,78,Fair
