time,ambient_temperature,relative_humidity,weather_condition
2024-03-29 00:56:00,13,40,Fair
2024-03-29 01:56:00,11,48,Fair
2024-03-29 02:56:00,6,76,Fair
2024-03-29 03:56:00,5,86,Fair
2024-03-29 04:56:00,4,83,Fair
2024-03-29 05:56:00,4,86,Fair
2024-03-29 06:56:00,3,93,Fair
2024-03-29 07:56:00,4,93,Patches of Fog
2024-03-29 08:56:00,8,74,Fair
2024-03-29 09:56:00,14,51,Fair
2024-03-29 10:56:00,17,29,Fair
2024-03-29 11:56:00,18,26,Fair
2024-03-29 12:56:00,20,24,Fair
2024-03-29 13:56:00,21,24,Fair
2024-03-29 14:56:00,21,25,Fair
2024-03-29 15:56:00,22,23,Fair
2024-03-29 16:56:00,22,23,Fair
2024-03-29 17:56:00,22,24,Fair
2024-03-29 18:56:00,21,26,Fair
2024-03-29 19:56:00,18,31,Fair
2024-03-29 20:56:00,15,42,Fair
2024-03-29 21:56:00,13,49,Fair
2024-03-29 22:56:00,13,49,Fair
2024-03-29 23:56:00,12,52,Fair
