Timestamp,Current AN (RMS)_MAX,Current AN (RMS)_MIN,Current AN (RMS)_AVG,Current LineToNeutralAverage (RMS)_MAX,Current LineToNeutralAverage (RMS)_MIN,Current LineToNeutralAverage (RMS)_AVG,Current BN (RMS)_MAX,Current BN (RMS)_MIN,Current BN (RMS)_AVG,Current CN (RMS)_MAX,Current CN (RMS)_MIN,Current CN (RMS)_AVG,Current AN (TotalTHD)_MAX,Current AN (TotalTHD)_MIN,Current AN (TotalTHD)_AVG,Current BN (TotalTHD)_MAX,Current BN (TotalTHD)_MIN,Current BN (TotalTHD)_AVG,Current CN (TotalTHD)_MAX,Current CN (TotalTHD)_MIN,Current CN (TotalTHD)_AVG,Power Total (S)_MAX,Power Total (S)_MIN,Power Total (S)_AVG,Power Total (Q)_MAX,Power Total (Q)_MIN,Power Total (Q)_AVG,Power Total (P)_MAX,Power Total (P)_MIN,Power Total (P)_AVG,Voltage AN (TotalTHD)_MAX,Voltage AN (TotalTHD)_MIN,Voltage AN (TotalTHD)_AVG,Voltage BN (TotalTHD)_MAX,Voltage BN (TotalTHD)_MIN,Voltage BN (TotalTHD)_AVG,Voltage CN (TotalTHD)_MAX,Voltage CN (TotalTHD)_MIN,Voltage CN (TotalTHD)_AVG,Voltage AN (FlkrPLT)_1,Voltage BN (FlkrPLT)_1,Voltage BN (FlkrPST)_1,Voltage CN (FlkrPLT)_1,Voltage CN (FlkrPST)_1,Voltage AN (FlkrPST)_1,Voltage AN (RMS)_MAX,Voltage AN (RMS)_MIN,Voltage AN (RMS)_AVG,Voltage BN (RMS)_MAX,Voltage BN (RMS)_MIN,Voltage BN (RMS)_AVG,Voltage CN (RMS)_MAX,Voltage CN (RMS)_MIN,Voltage CN (RMS)_AVG,Voltage LineToNeutralAverage (RMS)_MAX,Voltage LineToNeutralAverage (RMS)_MIN,Voltage LineToNeutralAverage (RMS)_AVG
2023-08-13T00:00:00.0000000,0.818917989730835,0.5719445943832397,0.6719266176223755,0.8127798438072205,0.5756141543388367,0.6716211438179016,0.8221303224563599,0.5907200574874878,0.6891075372695923,0.7972911596298218,0.5556304454803467,0.6538285613059998,215.74964904785156,162.8547821044922,127.25739288330078,230.80589294433594,193.0692596435547,157.4252166748047,282.0925598144531,203.31866455078125,154.1328887939453,23049.0779876709,9453.452110290527,14798.460960388184,9164.146423339844,8936.32698059082,9074.524879455566,-2495.907783508301,-21246.22344970703,-11127.649307250977,2.6181585788726807,0.7253980040550232,2.5417826175689697,2.651232957839966,0.7058001756668091,2.608546733856201,2.689655303955078,0.6620513796806335,2.605201482772827,0.07349477708339691,0.07830419391393661,0.07655921578407288,0.07533284276723862,0.07461319863796234,0.07509216666221619,14126.9501953125,14062.44140625,14106.4140625,14101.42578125,14037.1064453125,14079.6640625,14094.3369140625,14033.142578125,14075.4580078125,14105.2373046875,14057.2646484375,14087.1884765625
2023-08-13T00:15:00.0000000,0.5893778800964355,0.10659095644950867,0.16861490905284882,0.5906041264533997,0.11916111409664154,0.17931510508060455,0.6115881204605103,0.10890324413776398,0.16736222803592682,0.5779553651809692,0.13835205137729645,0.20196734368801117,575.1825561523438,145.30625915527344,42.37035369873047,348.232666015625,153.86045837402344,39.54379653930664,692.6118774414062,124.75020599365234,20.75238609313965,9452.532768249512,1042.2062873840332,5681.050777435303,9178.651809692383,-4994.374752044678,-3564.0218257904053,2103.522539138794,-2486.8717193603516,1709.3075513839722,2.6115353107452393,0.8442554473876953,2.482619047164917,2.6616508960723877,0.8079296946525574,2.6009392738342285,2.6836979389190674,0.7749137282371521,2.5359344482421875,0.07349477708339691,0.07830419391393661,0.07615150511264801,0.07533284276723862,0.07312475889921188,0.07565188407897949,14139.5205078125,14080.3740234375,14112.8173828125,14117.103515625,14039.76171875,14081.6259765625,14110.5224609375,14046.6689453125,14084.0322265625,14120.4931640625,14059.9111328125,14092.8212890625
2023-08-13T00:30:00.0000000,0.13419108092784882,0.12566015124320984,0.13050168752670288,0.14361679553985596,0.13794082403182983,0.14150869846343994,0.12413720041513443,0.12179943174123764,0.12298645824193954,0.17430949211120605,0.16494029760360718,0.17103783786296844,48.25835418701172,45.19995880126953,43.318904876708984,46.457618713378906,44.74904251098633,42.92055130004883,29.954666137695312,27.994203567504883,26.747440338134766,5517.64440536499,5337.669849395752,5448.953628540039,-4911.995410919189,-5081.362247467041,-5008.651256561279,2206.2149047851562,2079.1401863098145,2145.737409591675,2.5049259662628174,0.8941039443016052,2.43159818649292,2.622814655303955,0.8433698415756226,2.516427516937256,2.5493950843811035,0.8158365488052368,2.478553533554077,0.07349477708339691,0.07830419391393661,0.07087273895740509,0.07533284276723862,0.06797705590724945,0.070759616792202,14120.9033203125,14012.9833984375,14088.1640625,14083.2021484375,13973.6845703125,14060.0107421875,14103.0205078125,13981.0234375,14065.27734375,14091.1767578125,14010.3955078125,14071.15234375
2023-08-13T00:45:00.0000000,0.13448785245418549,0.13080498576164246,0.1328365057706833,0.1438911408185959,0.14220070838928223,0.14325246214866638,0.12449970096349716,0.12139356881380081,0.12330446392297745,0.17493833601474762,0.17199835181236267,0.17361631989479065,51.157997131347656,49.10134506225586,47.688961029052734,47.350196838378906,44.981746673583984,43.0080680847168,33.02506637573242,30.90877914428711,29.6632137298584,5542.550563812256,5457.832336425781,5495.456695556641,-5001.0199546813965,-5105.461597442627,-5052.067279815674,2186.861276626587,2136.082649230957,2162.5351905822754,2.4725961685180664,0.8820626139640808,2.420706033706665,2.5450918674468994,0.8403977155685425,2.4916536808013916,2.511814594268799,0.8082700967788696,2.4635865688323975,0.07349477708339691,0.07830419391393661,0.12853646278381348,0.07533284276723862,0.16187556087970734,0.1490718126296997,14122.849609375,13975.5546875,14062.0234375,14092.14453125,13946.505859375,14032.1484375,14100.37890625,13950.8916015625,14042.021484375,14100.7578125,13973.3642578125,14045.40625
2023-08-13T01:00:00.0000000,0.13432106375694275,0.13194653391838074,0.1331249326467514,0.14394927024841309,0.14308978617191315,0.14351922273635864,0.1249377503991127,0.12195782363414764,0.12336088716983795,0.1751350611448288,0.17292195558547974,0.17407189309597015,51.716793060302734,49.1809196472168,46.933494567871094,45.77652359008789,44.13636779785156,42.3275032043457,32.03038024902344,31.126222610473633,30.197250366210938,5548.026084899902,5482.178211212158,5514.751434326172,-5029.107570648193,-5116.35684967041,-5072.918891906738,2182.490348815918,2143.627166748047,2162.8494262695312,2.469430923461914,0.869205892086029,2.3810837268829346,2.5393946170806885,0.8290801048278809,2.4731600284576416,2.4806597232818604,0.8163212537765503,2.423065423965454,0.07349477708339691,0.07830419391393661,0.19838455319404602,0.07533284276723862,0.24171139299869537,0.1955537348985672,14118.7763671875,14005.255859375,14072.12890625,14086.7236328125,13929.7373046875,14047.3486328125,14100.3505859375,13945.7421875,14052.890625,14099.5322265625,14006.27734375,14057.4541015625
2023-08-13T01:15:00.0000000,0.13437968492507935,0.13213296234607697,0.13293345272541046,0.14393913745880127,0.14316672086715698,0.14361919462680817,0.12481309473514557,0.12281174957752228,0.12395663559436798,0.17521031200885773,0.172865092754364,0.17396779358386993,51.21184539794922,48.88850021362305,46.55795669555664,46.170719146728516,43.93863296508789,41.68403244018555,32.23545837402344,31.1152286529541,29.660152435302734,5541.95499420166,5484.594345092773,5518.428325653076,-5034.088134765625,-5102.9205322265625,-5071.376800537109,2194.2646503448486,2161.8196964263916,2175.813913345337,2.4248745441436768,0.867900550365448,2.350769281387329,2.5374670028686523,0.8303971886634827,2.4730329513549805,2.5020575523376465,0.8143296241760254,2.3968467712402344,0.07349477708339691,0.07830419391393661,0.13286930322647095,0.07533284276723862,0.12257138639688492,0.131647527217865,14146.6572265625,14005.5810546875,14113.1337890625,14125.7060546875,13980.3017578125,14085.8291015625,14113.7216796875,13981.5283203125,14078.099609375,14124.0888671875,14056.6240234375,14092.3447265625
2023-08-13T01:30:00.0000000,0.4235018193721771,0.08442087471485138,0.13309483230113983,0.3370145559310913,0.10278399288654327,0.1438356637954712,0.4010007977485657,0.055394433438777924,0.12469422072172165,0.30545467138290405,0.15708547830581665,0.17371836304664612,50.93864059448242,48.77278137207031,46.56346130371094,46.018436431884766,43.72175216674805,41.571022033691406,32.270103454589844,31.19276237487793,30.01287841796875,5626.558303833008,5095.551490783691,5544.555187225342,-4538.993835449219,-5165.709972381592,-5089.805603027344,2315.6394958496094,2163.1436347961426,2199.0153789520264,2.4412717819213867,0.8910666108131409,2.376173973083496,2.516956329345703,0.8667941093444824,2.462827682495117,2.4910082817077637,0.857318639755249,2.430847644805908,0.07349477708339691,0.07830419391393661,0.19363418221473694,0.07533284276723862,0.1620604395866394,0.14803732931613922,14214.2197265625,7533.25244140625,14163.1376953125,14185.310546875,6253.61767578125,14135.4140625,14143.4697265625,13645.12890625,14114.4697265625,14173.58984375,14017.8544921875,14137.671875
2023-08-13T01:45:00.0000000,0.13653671741485596,0.13119439780712128,0.13357765972614288,0.14491716027259827,0.14345963299274445,0.144036203622818,0.12698934972286224,0.12141495198011398,0.12409818917512894,0.17673294246196747,0.1727706789970398,0.1744326651096344,50.29351806640625,49.42835998535156,48.475257873535156,45.576927185058594,44.00503158569336,43.00688934326172,32.15890884399414,31.32189178466797,30.837982177734375,5614.911079406738,5529.721736907959,5572.473049163818,-5070.51420211792,-5169.864177703857,-5117.652893066406,2226.62353515625,2182.6748847961426,2204.9832344055176,2.4259164333343506,0.8966915607452393,2.3406593799591064,2.511148452758789,0.8627427816390991,2.4178314208984375,2.4614975452423096,0.8521696329116821,2.3783068656921387,0.07349477708339691,0.07830419391393661,0.12158412486314774,0.07533284276723862,0.11234375089406967,0.12108508497476578,14236.5693359375,14081.2275390625,14176.3359375,14208.5986328125,14031.2783203125,14139.2412109375,14187.439453125,14022.2275390625,14129.529296875,14189.8125,14060.7919921875,14148.3681640625
2023-08-13T02:00:00.0000000,0.13669688999652863,0.1314660906791687,0.13363508880138397,0.1454923152923584,0.14360657334327698,0.1444115936756134,0.12730586528778076,0.12144587934017181,0.1241590678691864,0.17774875462055206,0.17304222285747528,0.17544035613536835,50.65291976928711,49.611942291259766,47.641868591308594,45.506866455078125,44.101585388183594,43.039085388183594,32.06272888183594,31.353681564331055,30.744752883911133,5652.390480041504,5559.584140777588,5599.362373352051,-5094.38943862915,-5206.048488616943,-5143.786907196045,2228.7464141845703,2190.554618835449,2212.2726440429688,2.4131228923797607,0.8885804414749146,2.341071844100952,2.4743263721466064,0.8714373111724854,2.4138379096984863,2.463654041290283,0.8592077493667603,2.3961310386657715,0.07349477708339691,0.07830419391393661,0.12168829143047333,0.07533284276723862,0.11238723248243332,0.12079447507858276,14249.1806640625,14098.96484375,14192.0498046875,14212.638671875,14065.4033203125,14160.255859375,14203.63671875,14043.7978515625,14151.1181640625,14210.1884765625,14093.2978515625,14167.80859375
2023-08-13T02:15:00.0000000,0.13438892364501953,0.13225771486759186,0.13320279121398926,0.14487355947494507,0.14409199357032776,0.14444762468338013,0.12569323182106018,0.12276781350374222,0.12434309720993042,0.17655523121356964,0.17497943341732025,0.17579740285873413,49.856754302978516,48.25845718383789,37.318267822265625,96.89298248291016,44.18486785888672,42.38191604614258,56.36835861206055,31.44942855834961,29.828189849853516,5641.293525695801,5550.449848175049,5589.102745056152,-5079.189777374268,-5193.451881408691,-5130.908966064453,2238.1513118743896,2199.425458908081,2216.2492275238037,2.6543588638305664,0.9179686307907104,2.300569534301758,2.7275660037994385,0.9031914472579956,2.3886306285858154,2.4417507648468018,0.8587325215339661,2.3642168045043945,0.07349477708339691,0.07830419391393661,5.160669803619385,0.07533284276723862,0.3937319815158844,4.231180191040039,14264.4677734375,14086.2705078125,14207.064453125,14222.1015625,14070.9609375,14175.66796875,14210.5859375,14049.7802734375,14160.1318359375,14229.1201171875,14143.8388671875,14180.955078125
