time,ambient_temp1,ambient_temp2,ambient_rh,ir,inv_temp1,inv_temp2,inv_rh,deviceID
2024-02-18 00:00:00,6.467,8.249,46.488,0.0,9.482,10.343,25.881,28
2024-02-18 00:05:00,6.411,8.202,46.237,0.0,9.404,10.289,25.8,28
2024-02-18 00:10:00,6.317,8.137,45.881,0.0,9.325,10.218,25.8,28
2024-02-18 00:15:00,6.249,8.028,45.675,607.282,9.273,10.169,25.8,28
2024-02-18 00:20:00,6.37,8.089,45.549,0.0,9.203,10.103,25.8,28
2024-02-18 00:25:00,6.445,8.041,45.781,0.0,9.146,10.056,25.8,28
2024-02-18 00:30:00,6.32,7.929,47.211,0.0,9.094,9.981,25.8,28
2024-02-18 00:35:00,6.103,7.776,48.47,0.0,9.002,9.897,25.8,28
2024-02-18 00:40:00,5.958,7.678,48.955,0.0,8.91,9.836,25.812,28
2024-02-18 00:45:00,5.95,7.616,48.628,0.0,8.877,9.785,25.808,28
2024-02-18 00:50:00,6.144,7.684,46.875,0.0,8.804,9.709,25.899,28
2024-02-18 00:55:00,6.353,7.715,45.889,0.0,8.76,9.678,25.9,28
2024-02-18 01:00:00,6.251,7.663,45.949,0.0,8.7,9.612,25.9,28
2024-02-18 01:05:00,6.1,7.598,45.873,0.0,8.641,9.57,25.891,28
2024-02-18 01:10:00,6.059,7.557,46.097,0.0,8.594,9.502,25.9,28
2024-02-18 01:15:00,5.912,7.445,47.282,0.0,8.523,9.451,25.9,28
2024-02-18 01:20:00,5.758,7.332,47.822,0.0,8.481,9.39,25.9,28
2024-02-18 01:25:00,5.64,7.225,48.58,0.0,8.409,9.312,25.926,28
2024-02-18 01:30:00,5.691,7.188,48.626,0.0,8.357,9.266,26.1,28
2024-02-18 01:35:00,5.688,7.08,48.504,0.0,8.295,9.195,26.131,28
2024-02-18 01:40:00,5.631,7.017,48.422,0.0,8.22,9.117,26.246,28
2024-02-18 01:45:00,5.461,6.925,48.909,0.0,8.169,9.047,26.3,28
2024-02-18 01:50:00,5.227,6.795,49.636,0.0,8.068,8.935,26.299,28
2024-02-18 01:55:00,5.086,6.704,49.745,0.0,7.985,8.865,26.3,28
2024-02-18 02:00:00,5.091,6.679,49.373,0.0,7.913,8.787,26.303,28
2024-02-18 02:05:00,5.07,6.616,49.176,0.0,7.849,8.705,26.331,28
2024-02-18 02:10:00,4.967,6.549,49.44,0.0,7.783,8.643,26.3,28
2024-02-18 02:15:00,4.937,6.486,49.785,0.0,7.713,8.587,26.318,28
2024-02-18 02:20:00,4.998,6.431,49.511,0.0,7.641,8.506,26.401,28
2024-02-18 02:25:00,4.918,6.349,49.333,0.0,7.587,8.449,26.4,28
2024-02-18 02:30:00,4.956,6.303,48.803,0.0,7.508,8.389,26.4,28
2024-02-18 02:35:00,4.935,6.283,48.586,0.0,7.451,8.317,26.4,28
2024-02-18 02:40:00,4.861,6.176,49.368,0.0,7.39,8.256,26.409,28
2024-02-18 02:45:00,4.747,6.058,50.172,0.0,7.305,8.188,26.5,28
2024-02-18 02:50:00,4.637,5.992,50.723,0.0,7.243,8.1,26.548,28
2024-02-18 02:55:00,4.592,5.912,50.775,0.0,7.176,8.006,26.6,28
2024-02-18 03:00:00,4.613,5.92,50.394,0.0,7.093,7.939,26.6,28
2024-02-18 03:05:00,4.464,5.845,50.987,0.0,7.0,7.886,26.6,28
2024-02-18 03:10:00,4.193,5.712,52.159,0.0,6.935,7.808,26.6,28
2024-02-18 03:15:00,3.984,5.629,52.487,0.0,6.878,7.735,26.6,28
2024-02-18 03:20:00,3.985,5.599,51.653,0.0,6.8,7.685,26.6,28
2024-02-18 03:25:00,3.998,5.606,51.128,0.0,6.74,7.609,26.6,28
