time,ambient_temp1,ambient_temp2,ambient_rh,ir,inv_temp1,inv_temp2,inv_rh,deviceID
2023-10-01 00:00:00,15.915,17.793,97.933,0.0,21.025,21.666,38.012,28
2023-10-01 00:05:00,15.958,17.797,98.099,0.021,20.891,21.519,38.124,28
2023-10-01 00:10:00,16.014,17.79,98.256,0.019,20.756,21.373,38.287,28
2023-10-01 00:15:00,15.937,17.682,98.394,0.0,20.632,21.258,38.41,28
2023-10-01 00:20:00,15.669,17.51,98.385,0.028,20.494,21.138,38.476,28
2023-10-01 00:25:00,15.462,17.347,98.3,0.074,20.348,21.019,38.55,28
2023-10-01 00:30:00,15.436,17.308,98.3,0.0,20.233,20.897,38.715,28
2023-10-01 00:35:00,15.554,17.414,98.478,0.0,20.11,20.784,38.847,28
2023-10-01 00:40:00,15.519,17.37,98.6,0.0,19.978,20.672,38.963,28
2023-10-01 00:45:00,15.236,17.198,98.594,0.0,19.884,20.563,39.006,28
2023-10-01 00:50:00,15.115,17.01,98.53,0.0,19.758,20.424,39.121,28
2023-10-01 00:55:00,14.995,16.873,98.504,0.0,19.645,20.311,39.21,28
2023-10-01 01:00:00,15.126,16.988,98.577,0.202,19.508,20.201,39.33,28
2023-10-01 01:05:00,15.371,17.047,98.764,0.0,19.395,20.095,39.451,28
2023-10-01 01:10:00,15.42,17.052,98.894,0.098,19.287,20.002,39.585,28
2023-10-01 01:15:00,15.283,17.047,98.989,0.0,19.198,19.908,39.685,28
2023-10-01 01:20:00,15.24,17.069,99.08,0.0,19.092,19.811,39.768,28
2023-10-01 01:25:00,14.965,16.885,99.073,0.244,18.993,19.725,39.826,28
2023-10-01 01:30:00,14.66,16.664,99.026,0.515,18.9,19.628,39.907,28
2023-10-01 01:35:00,14.516,16.524,99.0,0.0,18.797,19.503,39.997,28
2023-10-01 01:40:00,14.529,16.491,99.04,0.0,18.705,19.406,40.078,28
2023-10-01 01:45:00,14.471,16.472,99.105,0.0,18.586,19.319,40.167,28
2023-10-01 01:50:00,14.568,16.592,99.224,0.389,18.471,19.219,40.274,28
2023-10-01 01:55:00,14.743,16.637,99.36,0.0,18.39,19.128,40.396,28
2023-10-01 02:00:00,14.815,16.698,99.43,0.0,18.305,19.062,40.475,28
2023-10-01 02:05:00,14.743,16.603,99.475,0.0,18.213,18.993,40.519,28
2023-10-01 02:10:00,14.697,16.521,99.5,0.0,18.132,18.911,40.6,28
2023-10-01 02:15:00,14.573,16.444,99.501,0.0,18.058,18.832,40.643,28
2023-10-01 02:20:00,14.526,16.446,99.525,0.0,17.974,18.76,40.723,28
2023-10-01 02:25:00,14.511,16.421,99.6,0.546,17.895,18.688,40.829,28
2023-10-01 02:30:00,14.483,16.421,99.64,0.0,17.809,18.598,40.901,28
2023-10-01 02:35:00,14.581,16.452,99.705,0.0,17.746,18.51,41.009,28
2023-10-01 02:40:00,14.595,16.447,99.703,0.732,17.647,18.456,41.094,28
2023-10-01 02:45:00,14.504,16.344,99.7,0.0,17.588,18.401,41.103,28
2023-10-01 02:50:00,14.472,16.266,99.788,5.148,17.505,18.338,41.186,28
2023-10-01 02:55:00,14.599,16.368,99.8,0.27,17.447,18.288,41.262,28
2023-10-01 03:00:00,14.504,16.297,99.8,0.0,17.393,18.221,41.3,28
2023-10-01 03:05:00,14.465,16.312,99.882,1.036,17.325,18.186,41.345,28
2023-10-01 03:10:00,14.543,16.327,99.9,0.0,17.291,18.115,41.402,28
2023-10-01 03:15:00,14.749,16.558,99.933,0.0,17.214,18.096,41.493,28
2023-10-01 03:20:00,14.921,16.696,100.024,0.139,17.197,18.079,41.525,28
2023-10-01 03:25:00,14.828,16.675,100.1,0.0,17.15,18.049,41.517,28
2023-10-01 03:30:00,14.822,16.671,100.1,0.0,17.104,18.014,41.503,28
2023-10-01 03:35:00,14.577,16.444,100.026,0.148,17.085,17.998,41.548,28
2023-10-01 03:40:00,14.49,16.354,100.0,0.0,17.02,17.956,41.697,28
2023-10-01 03:45:00,14.547,16.482,100.045,0.0,17.0,17.903,41.807,28
2023-10-01 03:50:00,14.523,16.501,100.1,1.01,16.974,17.895,41.872,28
2023-10-01 03:55:00,14.6,16.564,100.1,0.0,16.913,17.865,41.955,28
2023-10-01 04:00:00,14.763,16.614,100.1,0.0,16.898,17.821,42.037,28
2023-10-01 04:05:00,14.953,16.704,100.191,0.204,16.886,17.806,42.121,28
2023-10-01 04:10:00,15.156,16.827,100.2,0.083,16.866,17.8,42.19,28
2023-10-01 04:15:00,15.218,16.822,100.2,0.306,16.832,17.799,42.164,28
2023-10-01 04:20:00,15.173,16.856,100.2,0.065,16.811,17.798,42.089,28
2023-10-01 04:25:00,15.216,16.877,100.2,0.074,16.812,17.8,42.016,28
2023-10-01 04:30:00,14.985,16.807,100.126,0.102,16.8,17.794,42.113,28
2023-10-01 04:35:00,14.92,16.758,100.1,0.0,16.801,17.787,42.235,28
2023-10-01 04:40:00,15.044,16.771,100.1,0.111,16.798,17.777,42.3,28
2023-10-01 04:45:00,14.797,16.633,99.994,0.453,16.79,17.761,42.322,28
2023-10-01 04:50:00,14.825,16.652,99.902,0.408,16.755,17.728,42.447,28
2023-10-01 04:55:00,15.159,16.835,99.987,0.0,16.739,17.702,42.472,28
2023-10-01 05:00:00,15.187,16.815,99.872,0.0,16.731,17.696,42.476,28
2023-10-01 05:05:00,15.282,16.92,99.747,0.102,16.714,17.691,42.469,28
2023-10-01 05:10:00,15.342,16.928,99.309,0.137,16.717,17.682,42.404,28
2023-10-01 05:15:00,15.236,16.919,98.601,0.151,16.717,17.686,42.4,28
2023-10-01 05:20:00,15.194,16.915,98.041,0.0,16.705,17.676,42.447,28
2023-10-01 05:25:00,15.088,16.856,97.535,0.0,16.706,17.667,42.522,28
2023-10-01 05:30:00,14.817,16.752,97.313,0.0,16.693,17.645,42.617,28
2023-10-01 05:35:00,14.575,16.603,96.882,0.0,16.664,17.613,42.743,28
2023-10-01 05:40:00,14.518,16.516,96.788,1.845,16.629,17.595,42.881,28
