time,ambient_temperature,relative_humidity,weather_condition
2024-03-12 00:56:00,6,82,Cloudy
2024-03-12 01:56:00,7,82,Cloudy
2024-03-12 02:56:00,7,82,Mostly Cloudy
2024-03-12 03:56:00,7,76,Cloudy
2024-03-12 04:56:00,7,76,Cloudy
2024-03-12 05:56:00,6,82,Cloudy
2024-03-12 06:56:00,7,68,Mostly Cloudy
2024-03-12 07:56:00,4,83,Patches of Fog
2024-03-12 08:56:00,8,68,Fair
2024-03-12 09:56:00,13,49,Fair
2024-03-12 10:56:00,16,36,Fair
2024-03-12 11:56:00,18,28,Fair
2024-03-12 12:56:00,20,26,Fair
2024-03-12 13:56:00,22,22,Fair
2024-03-12 14:56:00,23,20,Partly Cloudy
2024-03-12 15:56:00,23,18,Partly Cloudy
2024-03-12 16:56:00,24,18,Partly Cloudy
2024-03-12 17:56:00,23,20,Partly Cloudy
2024-03-12 18:56:00,21,24,Partly Cloudy
2024-03-12 19:56:00,19,28,Smoke
2024-03-12 20:56:00,15,46,Partly Cloudy
2024-03-12 21:56:00,12,64,Partly Cloudy
2024-03-12 22:56:00,11,63,Partly Cloudy
2024-03-12 23:56:00,12,55,Partly Cloudy
