time,ambient_temperature,relative_humidity,weather_condition
2023-11-15 00:56:00,8,89,Cloudy
2023-11-15 01:56:00,8,89,Cloudy
2023-11-15 02:56:00,8,93,Cloudy
2023-11-15 03:56:00,8,93,Cloudy
2023-11-15 04:56:00,8,90,Cloudy
2023-11-15 05:56:00,8,90,Cloudy
2023-11-15 06:56:00,11,63,Cloudy
2023-11-15 07:56:00,11,63,Haze
2023-11-15 08:56:00,11,66,Cloudy
2023-11-15 09:56:00,12,57,Cloudy
2023-11-15 10:56:00,13,49,Cloudy
2023-11-15 11:56:00,14,42,Cloudy
2023-11-15 12:56:00,16,38,Cloudy
2023-11-15 13:56:00,16,36,Cloudy
2023-11-15 14:56:00,16,35,Cloudy
2023-11-15 15:56:00,16,39,Cloudy
2023-11-15 16:56:00,16,39,Cloudy
2023-11-15 17:56:00,15,42,Cloudy
2023-11-15 18:56:00,15,39,Cloudy
2023-11-15 19:56:00,14,44,Cloudy
2023-11-15 20:56:00,14,47,Cloudy
2023-11-15 21:56:00,14,49,Mostly Cloudy
2023-11-15 22:56:00,14,51,Mostly Cloudy
2023-11-15 23:56:00,13,55,Mostly Cloudy
