time,ambient_temperature,relative_humidity,weather_condition
2022-02-25 00:56:00,14,81,Fair
2022-02-25 01:56:00,14,83,Fair
2022-02-25 02:56:00,14,81,Cloudy
2022-02-25 03:56:00,13,84,Partly Cloudy
2022-02-25 04:56:00,13,89,Fair
2022-02-25 05:56:00,13,86,Mostly Cloudy
2022-02-25 06:56:00,12,93,Patches of Fog
2022-02-25 07:56:00,13,87,Partly Cloudy
2022-02-25 08:56:00,20,76,Partly Cloudy
2022-02-25 09:56:00,23,64,Fair
2022-02-25 10:56:00,25,54,Fair
2022-02-25 11:56:00,27,48,Partly Cloudy
2022-02-25 12:56:00,24,58,Cloudy
2022-02-25 13:56:00,25,58,Mostly Cloudy
2022-02-25 14:56:00,25,58,Mostly Cloudy
2022-02-25 15:56:00,24,60,Partly Cloudy
2022-02-25 16:56:00,24,60,Mostly Cloudy
2022-02-25 17:56:00,23,64,Mostly Cloudy
2022-02-25 18:56:00,22,66,Fair
2022-02-25 19:56:00,21,68,Fair
2022-02-25 20:56:00,18,78,Fair
2022-02-25 21:56:00,18,70,Fair
2022-02-25 22:56:00,14,70,Fair
2022-02-25 23:56:00,13,67,Fair
