timestamp,temp,dewPt,rh,wx_phrase
2023-12-04 02:56:00,13,11,89,Cloudy
2023-12-04 03:56:00,12,10,89,Cloudy
2023-12-04 04:56:00,11,10,93,Cloudy
2023-12-04 05:56:00,10,9,96,Cloudy
2023-12-04 06:56:00,11,9,89,Cloudy
2023-12-04 07:56:00,8,8,100,Fair
2023-12-04 08:56:00,9,8,93,Cloudy
2023-12-04 09:56:00,8,8,97,Partly Cloudy
2023-12-04 10:56:00,12,9,80,Partly Cloudy
2023-12-04 11:56:00,16,8,60,Partly Cloudy
2023-12-04 12:56:00,18,6,43,Mostly Cloudy
2023-12-04 13:56:00,19,4,37,Mostly Cloudy
2023-12-04 14:56:00,20,4,35,Mostly Cloudy
2023-12-04 15:56:00,21,2,30,Mostly Cloudy
2023-12-04 16:56:00,21,2,30,Partly Cloudy
2023-12-04 17:56:00,21,5,36,Partly Cloudy
2023-12-04 18:56:00,19,6,43,Fair
2023-12-04 19:56:00,17,7,52,Partly Cloudy
2023-12-04 20:56:00,12,7,72,Partly Cloudy
2023-12-04 21:56:00,11,6,71,Partly Cloudy
2023-12-04 22:56:00,12,4,59,Partly Cloudy
2023-12-04 23:56:00,11,3,59,Partly Cloudy
2023-12-05 00:56:00,14,2,45,Partly Cloudy
2023-12-05 01:56:00,13,2,49,Partly Cloudy
