time,ambient_temperature,relative_humidity,weather_condition
2023-06-03 00:56:00,21,81,Fair
2023-06-03 01:56:00,19,87,Fair
2023-06-03 02:56:00,18,90,Fair
2023-06-03 03:56:00,17,93,Fair
2023-06-03 04:56:00,17,90,Fair
2023-06-03 05:56:00,17,93,Fair
2023-06-03 06:56:00,19,87,Fair
2023-06-03 07:56:00,21,76,Fair
2023-06-03 08:56:00,24,69,Fair
2023-06-03 09:56:00,26,64,Partly Cloudy
2023-06-03 10:56:00,28,54,Partly Cloudy
2023-06-03 11:56:00,28,44,Partly Cloudy
2023-06-03 12:56:00,30,38,Partly Cloudy
2023-06-03 13:56:00,31,25,Partly Cloudy
2023-06-03 14:56:00,32,29,Partly Cloudy
2023-06-03 15:56:00,32,26,Partly Cloudy
2023-06-03 16:56:00,32,28,Partly Cloudy
2023-06-03 17:56:00,32,28,Fair
2023-06-03 18:56:00,31,35,Partly Cloudy
2023-06-03 19:56:00,29,43,Fair
2023-06-03 20:56:00,27,45,Partly Cloudy
2023-06-03 21:56:00,25,56,Fair
2023-06-03 22:56:00,24,62,Fair
2023-06-03 23:56:00,22,68,Fair
