timestamp,temp,dewPt,rh,wx_phrase
2024-01-17 02:56:00,1,-8,50,Partly Cloudy
2024-01-17 03:56:00,0,-9,52,Fair
2024-01-17 04:56:00,-1,-10,51,Fair
2024-01-17 05:56:00,-2,-9,58,Fair
2024-01-17 06:56:00,-3,-10,58,Fair
2024-01-17 07:56:00,-3,-10,60,Fair
2024-01-17 08:56:00,-4,-10,63,Fair
2024-01-17 09:56:00,-4,-10,63,Fair
2024-01-17 10:56:00,-2,-12,49,Fair
2024-01-17 11:56:00,-1,-12,45,Fair
2024-01-17 12:56:00,1,-11,43,Fair
2024-01-17 13:56:00,2,-9,44,Fair
2024-01-17 14:56:00,3,-11,36,Fair
2024-01-17 15:56:00,5,-11,31,Fair
2024-01-17 16:56:00,6,-12,27,Fair
2024-01-17 17:56:00,6,-12,27,Fair
2024-01-17 18:56:00,6,-10,31,Fair
2024-01-17 19:56:00,4,-9,38,Partly Cloudy
2024-01-17 20:56:00,2,-8,50,Partly Cloudy
2024-01-17 21:56:00,-1,-6,69,Partly Cloudy
2024-01-17 22:56:00,-2,-6,75,Fair
2024-01-17 23:56:00,-2,-6,75,Fair
2024-01-18 00:56:00,-3,-6,78,Fair
2024-01-18 01:56:00,-3,-6,78,Fair
