time,ambient_temperature,relative_humidity,weather_condition
2023-06-16 00:56:00,22,87,Partly Cloudy
2023-06-16 01:56:00,21,87,Mostly Cloudy
2023-06-16 02:25:00,21,87,Mostly Cloudy
2023-06-16 02:56:00,21,87,Cloudy
2023-06-16 03:56:00,21,90,Cloudy
2023-06-16 04:56:00,21,90,Cloudy
2023-06-16 05:56:00,21,90,Cloudy
2023-06-16 06:56:00,21,90,Cloudy
2023-06-16 07:56:00,22,87,Mostly Cloudy
2023-06-16 08:10:00,22,87,Partly Cloudy
2023-06-16 08:38:00,23,81,Mostly Cloudy
2023-06-16 08:47:00,23,79,Partly Cloudy
2023-06-16 08:56:00,24,79,Fair
2023-06-16 09:56:00,25,71,Fair
2023-06-16 10:56:00,27,65,Fair
2023-06-16 11:56:00,29,61,Partly Cloudy
2023-06-16 12:56:00,29,57,Fair
2023-06-16 13:56:00,31,49,Partly Cloudy
2023-06-16 14:56:00,31,46,Partly Cloudy
2023-06-16 15:56:00,32,45,Partly Cloudy
2023-06-16 16:56:00,32,46,Fair
2023-06-16 17:56:00,32,43,Partly Cloudy
2023-06-16 18:56:00,31,48,Partly Cloudy
2023-06-16 19:56:00,29,55,Fair
2023-06-16 20:56:00,28,58,Fair
2023-06-16 21:56:00,27,62,Fair
2023-06-16 22:56:00,26,64,Fair
2023-06-16 23:56:00,25,69,Fair
