timestamp,temp,dewPt,rh,wx_phrase
2024-01-23 02:56:00,7,-2,53,Cloudy
2024-01-23 03:56:00,7,-1,56,Cloudy
2024-01-23 04:56:00,7,-1,60,Cloudy
2024-01-23 05:56:00,7,-1,58,Cloudy
2024-01-23 06:56:00,7,-1,60,Cloudy
2024-01-23 07:56:00,7,2,71,Cloudy
2024-01-23 08:56:00,7,2,71,Light Rain
2024-01-23 09:56:00,7,2,71,Haze
2024-01-23 10:56:00,7,3,76,Cloudy
2024-01-23 11:56:00,8,3,73,Haze
2024-01-23 12:56:00,9,4,71,Mostly Cloudy
2024-01-23 13:56:00,11,6,71,Mostly Cloudy
2024-01-23 14:56:00,12,7,71,Mostly Cloudy
2024-01-23 15:56:00,12,8,75,Cloudy
2024-01-23 16:56:00,14,9,72,Mostly Cloudy
2024-01-23 17:56:00,13,9,75,Light Rain
2024-01-23 18:56:00,13,9,77,Mostly Cloudy
2024-01-23 19:56:00,13,9,80,Light Rain
2024-01-23 20:56:00,12,9,83,Cloudy
2024-01-23 21:56:00,12,9,83,Cloudy
2024-01-23 22:56:00,12,9,86,Cloudy
2024-01-23 23:56:00,12,10,89,Cloudy
2024-01-24 00:56:00,12,11,93,Cloudy
2024-01-24 01:56:00,12,11,93,Cloudy
