time,ambient_temperature,relative_humidity,weather_condition
2022-04-30 00:56:00,18,65,Partly Cloudy
2022-04-30 01:56:00,17,72,Fair
2022-04-30 02:56:00,17,75,Fair
2022-04-30 03:56:00,16,78,Fair
2022-04-30 04:56:00,14,84,Fair
2022-04-30 05:56:00,15,83,Partly Cloudy
2022-04-30 06:56:00,15,81,Mostly Cloudy
2022-04-30 07:56:00,17,75,Partly Cloudy
2022-04-30 08:56:00,20,68,Partly Cloudy
2022-04-30 09:56:00,22,59,Fair
2022-04-30 10:56:00,23,53,Partly Cloudy
2022-04-30 11:56:00,24,48,Partly Cloudy
2022-04-30 12:56:00,26,42,Partly Cloudy
2022-04-30 13:56:00,27,36,Partly Cloudy
2022-04-30 14:56:00,28,33,Partly Cloudy
2022-04-30 15:56:00,28,30,Fair
2022-04-30 16:56:00,28,29,Fair
2022-04-30 17:56:00,28,29,Fair
2022-04-30 18:56:00,27,31,Fair
2022-04-30 19:56:00,25,39,Fair
2022-04-30 20:56:00,23,48,Fair
2022-04-30 21:56:00,23,46,Fair
2022-04-30 22:56:00,22,51,Fair
2022-04-30 23:56:00,20,61,Fair
