timestamp,temp,dewPt,rh,wx_phrase
2023-05-04 02:56:00,9,6,80,Fair
2023-05-04 03:56:00,9,5,77,Fair
2023-05-04 04:56:00,7,5,86,Fair
2023-05-04 05:56:00,7,4,85,Fair
2023-05-04 06:56:00,6,4,92,Fair
2023-05-04 07:56:00,6,4,86,Fair
2023-05-04 08:56:00,5,4,93,Fair
2023-05-04 09:56:00,8,6,83,Fair
2023-05-04 10:56:00,13,7,67,Fair
2023-05-04 11:56:00,17,4,44,Fair
2023-05-04 12:56:00,19,2,33,Fair
2023-05-04 13:56:00,19,2,32,Fair
2023-05-04 14:56:00,20,3,32,Fair
2023-05-04 15:56:00,22,3,29,Fair
2023-05-04 16:56:00,23,4,29,Fair
2023-05-04 17:56:00,23,4,29,Fair
2023-05-04 18:56:00,23,4,29,Fair
2023-05-04 19:56:00,23,4,28,Partly Cloudy
2023-05-04 20:56:00,23,4,30,Partly Cloudy
2023-05-04 21:56:00,21,5,35,Fair
2023-05-04 22:56:00,18,7,47,Partly Cloudy
2023-05-04 23:56:00,14,8,67,Partly Cloudy
2023-05-05 00:56:00,14,8,69,Fair
2023-05-05 01:56:00,12,8,77,Fair
