timestamp,temp,dewPt,rh,wx_phrase
2023-10-21 02:56:00,12,11,93,Fair
2023-10-21 03:56:00,11,10,96,Fair
2023-10-21 04:56:00,11,9,92,Fair
2023-10-21 05:56:00,10,9,96,Fair
2023-10-21 06:56:00,9,9,97,Fair
2023-10-21 07:56:00,10,8,86,Fair
2023-10-21 08:56:00,8,8,97,Fair
2023-10-21 09:56:00,9,7,86,Fair
2023-10-21 10:56:00,13,8,74,Fair
2023-10-21 11:56:00,16,8,60,Fair
2023-10-21 12:56:00,18,7,48,Fair
2023-10-21 13:56:00,19,7,44,Fair
2023-10-21 14:56:00,21,6,36,Fair
2023-10-21 15:56:00,22,7,38,Fair
2023-10-21 16:56:00,22,7,37,Fair
2023-10-21 17:56:00,23,7,37,Fair
2023-10-21 18:56:00,23,7,37,Fair
2023-10-21 19:56:00,22,7,39,Fair
2023-10-21 20:56:00,19,8,50,Fair
2023-10-21 21:56:00,16,9,62,Fair
2023-10-21 22:56:00,13,10,80,Fair
2023-10-21 23:56:00,14,9,74,Fair
2023-10-22 00:56:00,14,9,72,Fair
2023-10-22 01:56:00,16,9,64,Fair
