time,ambient_temperature,relative_humidity,weather_condition
2022-07-12 00:56:00,23,91,Partly Cloudy
2022-07-12 01:56:00,22,97,Partly Cloudy
2022-07-12 02:56:00,23,93,Cloudy
2022-07-12 03:56:00,23,91,Cloudy
2022-07-12 04:56:00,23,93,Fair
2022-07-12 05:56:00,23,93,Fair
2022-07-12 06:56:00,22,97,Mostly Cloudy
2022-07-12 07:56:00,23,93,Mostly Cloudy
2022-07-12 08:56:00,26,79,Partly Cloudy
2022-07-12 09:56:00,26,77,Mostly Cloudy
2022-07-12 10:56:00,27,69,Mostly Cloudy
2022-07-12 11:56:00,28,67,Mostly Cloudy
2022-07-12 12:56:00,28,67,Cloudy
2022-07-12 13:06:00,29,66,Cloudy
2022-07-12 13:56:00,29,67,Mostly Cloudy
2022-07-12 14:56:00,29,65,Mostly Cloudy
2022-07-12 15:56:00,29,67,Mostly Cloudy
2022-07-12 16:56:00,29,67,Mostly Cloudy
2022-07-12 17:56:00,29,67,Mostly Cloudy
2022-07-12 18:56:00,29,69,Mostly Cloudy
2022-07-12 19:56:00,28,74,Mostly Cloudy
2022-07-12 20:56:00,28,79,Mostly Cloudy
2022-07-12 21:56:00,27,82,Mostly Cloudy
2022-07-12 22:56:00,27,81,Cloudy
2022-07-12 23:56:00,27,85,Cloudy
