time,ambient_temperature,relative_humidity,weather_condition
2022-10-27 00:56:00,16,70,Fair
2022-10-27 01:56:00,15,75,Fair
2022-10-27 02:56:00,14,75,Fair
2022-10-27 03:56:00,14,74,Fair
2022-10-27 04:56:00,13,75,Fair
2022-10-27 05:56:00,13,69,Fair
2022-10-27 06:56:00,13,72,Fair
2022-10-27 07:56:00,13,69,Partly Cloudy
2022-10-27 08:56:00,14,64,Partly Cloudy
2022-10-27 09:56:00,16,57,Fair
2022-10-27 10:56:00,18,52,Fair
2022-10-27 11:56:00,19,50,Fair
2022-10-27 12:56:00,20,50,Fair
2022-10-27 13:56:00,21,51,Fair
2022-10-27 14:56:00,22,48,Fair
2022-10-27 15:56:00,22,48,Partly Cloudy
2022-10-27 16:56:00,22,49,Partly Cloudy
2022-10-27 17:56:00,21,51,Mostly Cloudy
2022-10-27 18:56:00,19,57,Partly Cloudy
2022-10-27 19:56:00,19,59,Mostly Cloudy
2022-10-27 20:56:00,18,63,Mostly Cloudy
2022-10-27 21:56:00,17,65,Mostly Cloudy
2022-10-27 22:56:00,17,67,Mostly Cloudy
2022-10-27 23:56:00,16,72,Partly Cloudy
