time,ambient_temperature,relative_humidity,weather_condition
2022-11-28 00:56:00,14,69,Fair
2022-11-28 01:56:00,13,72,Fair
2022-11-28 02:56:00,12,77,Fair
2022-11-28 03:56:00,12,77,Fair
2022-11-28 04:56:00,12,77,Fair
2022-11-28 05:56:00,11,77,Fair
2022-11-28 06:56:00,11,80,Fair
2022-11-28 07:56:00,12,77,Fair
2022-11-28 08:56:00,13,69,Fair
2022-11-28 09:56:00,15,64,Fair
2022-11-28 10:56:00,17,56,Fair
2022-11-28 11:56:00,18,52,Fair
2022-11-28 12:56:00,19,47,Fair
2022-11-28 13:56:00,19,49,Fair
2022-11-28 14:56:00,19,47,Fair
2022-11-28 15:56:00,19,49,Fair
2022-11-28 16:56:00,18,54,Fair
2022-11-28 17:56:00,16,60,Fair
2022-11-28 18:56:00,13,74,Fair
2022-11-28 19:56:00,11,83,Fair
2022-11-28 20:56:00,9,90,Fair
2022-11-28 21:56:00,8,90,Fair
2022-11-28 22:56:00,7,93,Fair
2022-11-28 23:56:00,8,93,Fair
