timestamp,temp,dewPt,rh,wx_phrase
2023-07-04 02:56:00,28,23,74,Cloudy
2023-07-04 03:56:00,27,23,79,Mostly Cloudy
2023-07-04 04:56:00,26,23,84,Partly Cloudy
2023-07-04 05:56:00,26,23,84,Mostly Cloudy
2023-07-04 06:56:00,26,23,84,Partly Cloudy
2023-07-04 07:56:00,26,23,87,Mostly Cloudy
2023-07-04 08:56:00,25,23,90,Mostly Cloudy
2023-07-04 09:56:00,26,24,88,Partly Cloudy
2023-07-04 10:56:00,28,23,74,Haze
2023-07-04 11:56:00,31,23,65,Fair
2023-07-04 12:56:00,33,23,55,Fair
2023-07-04 13:56:00,33,22,52,Fair
2023-07-04 14:56:00,33,22,52,Fair
2023-07-04 15:56:00,34,21,47,Mostly Cloudy
2023-07-04 16:56:00,34,21,46,Mostly Cloudy
2023-07-04 17:56:00,34,22,47,Mostly Cloudy
2023-07-04 18:56:00,34,22,49,Partly Cloudy
2023-07-04 19:42:00,34,22,50,Thunder
2023-07-04 19:49:00,34,22,49,Thunder in the Vicinity
2023-07-04 19:56:00,34,22,47,Thunder in the Vicinity
2023-07-04 20:56:00,31,21,55,Thunder in the Vicinity
2023-07-04 21:52:00,29,20,58,Mostly Cloudy
2023-07-04 21:56:00,29,20,58,Mostly Cloudy
2023-07-04 22:56:00,29,21,59,Mostly Cloudy
2023-07-04 23:56:00,27,21,71,Mostly Cloudy
2023-07-05 00:56:00,27,22,76,Mostly Cloudy
2023-07-05 01:56:00,27,23,79,Mostly Cloudy
