time,ambient_temperature,relative_humidity,weather_condition
2024-01-08 00:56:00,0,92,Fair
2024-01-08 01:56:00,1,89,Fair
2024-01-08 02:56:00,-1,96,Fair
2024-01-08 03:56:00,-1,92,Fair
2024-01-08 04:56:00,-1,96,Fair
2024-01-08 05:56:00,-2,96,Partly Cloudy
2024-01-08 06:56:00,0,88,Mostly Cloudy
2024-01-08 07:56:00,0,92,Cloudy
2024-01-08 08:56:00,2,93,Cloudy
2024-01-08 09:56:00,6,67,Mostly Cloudy
2024-01-08 10:56:00,7,55,Mostly Cloudy
2024-01-08 11:56:00,8,50,Mostly Cloudy
2024-01-08 12:56:00,8,52,Mostly Cloudy
2024-01-08 13:56:00,9,50,Mostly Cloudy
2024-01-08 14:56:00,10,46,Mostly Cloudy
2024-01-08 15:56:00,10,46,Mostly Cloudy
2024-01-08 16:56:00,9,50,Partly Cloudy
2024-01-08 17:56:00,7,58,Partly Cloudy
2024-01-08 18:56:00,8,58,Mostly Cloudy
2024-01-08 19:56:00,7,60,Mostly Cloudy
2024-01-08 20:56:00,8,58,Cloudy
2024-01-08 21:56:00,8,61,Cloudy
2024-01-08 22:56:00,8,61,Cloudy
2024-01-08 23:56:00,8,68,Cloudy
