time,ambient_temperature,relative_humidity,weather_condition
2022-07-19 00:56:00,26,90,Partly Cloudy
2022-07-19 01:56:00,25,94,Fair
2022-07-19 02:56:00,25,94,Fair
2022-07-19 03:56:00,24,94,Fair
2022-07-19 04:56:00,24,94,Fair
2022-07-19 05:56:00,24,96,Fair
2022-07-19 06:56:00,24,96,Partly Cloudy
2022-07-19 07:05:00,24,96,Mostly Cloudy
2022-07-19 07:56:00,25,94,Partly Cloudy
2022-07-19 08:56:00,27,81,Partly Cloudy
2022-07-19 09:56:00,28,74,Partly Cloudy
2022-07-19 10:34:00,29,72,Mostly Cloudy
2022-07-19 10:56:00,29,69,Mostly Cloudy
2022-07-19 11:18:00,30,65,Partly Cloudy
2022-07-19 11:56:00,31,63,Partly Cloudy
2022-07-19 12:56:00,32,57,Partly Cloudy
2022-07-19 13:56:00,33,57,Mostly Cloudy
2022-07-19 14:56:00,33,48,Partly Cloudy
2022-07-19 15:56:00,33,50,Partly Cloudy
2022-07-19 16:56:00,33,52,Mostly Cloudy
2022-07-19 17:56:00,33,48,Mostly Cloudy
2022-07-19 18:56:00,32,48,Mostly Cloudy
2022-07-19 19:56:00,31,53,Mostly Cloudy
2022-07-19 20:56:00,29,59,Mostly Cloudy
2022-07-19 21:56:00,28,65,Partly Cloudy
2022-07-19 22:56:00,27,60,Mostly Cloudy
2022-07-19 23:56:00,26,66,Mostly Cloudy
