time,ambient_temperature,relative_humidity,weather_condition
2023-12-06 00:56:00,9,61,Fair
2023-12-06 01:56:00,7,68,Fair
2023-12-06 02:56:00,4,86,Fair
2023-12-06 03:56:00,4,89,Cloudy
2023-12-06 04:56:00,9,61,Fair
2023-12-06 05:56:00,8,66,Fair
2023-12-06 06:56:00,8,66,Fair
2023-12-06 07:56:00,8,63,Fair
2023-12-06 08:56:00,10,59,Fair
2023-12-06 09:56:00,11,49,Fair
2023-12-06 10:56:00,12,45,Fair
2023-12-06 11:56:00,13,40,Fair
2023-12-06 12:56:00,13,40,Partly Cloudy
2023-12-06 13:56:00,14,36,Partly Cloudy
2023-12-06 14:56:00,14,32,Partly Cloudy
2023-12-06 15:56:00,14,33,Fair
2023-12-06 16:56:00,13,35,Fair
2023-12-06 17:56:00,11,40,Fair
2023-12-06 18:56:00,10,44,Fair
2023-12-06 19:56:00,9,41,Fair
2023-12-06 20:56:00,8,44,Fair
2023-12-06 21:56:00,7,49,Fair
2023-12-06 22:56:00,4,65,Fair
2023-12-06 23:56:00,3,73,Fair
