time,ambient_temperature,relative_humidity,weather_condition
2023-05-31 00:48:00,22,78,Cloudy
2023-05-31 00:56:00,22,78,Cloudy
2023-05-31 01:56:00,21,81,Cloudy
2023-05-31 02:56:00,21,81,Cloudy
2023-05-31 03:56:00,21,84,Mostly Cloudy
2023-05-31 04:56:00,21,84,Partly Cloudy
2023-05-31 05:56:00,20,84,Mostly Cloudy
2023-05-31 06:45:00,19,87,Mostly Cloudy
2023-05-31 06:56:00,19,87,Cloudy
2023-05-31 07:56:00,19,84,Cloudy
2023-05-31 08:56:00,21,78,Cloudy
2023-05-31 09:56:00,21,78,Cloudy
2023-05-31 10:56:00,21,78,Cloudy
2023-05-31 11:56:00,22,71,Cloudy
2023-05-31 12:56:00,22,71,Cloudy
2023-05-31 13:56:00,23,71,Cloudy
2023-05-31 14:56:00,24,62,Cloudy
2023-05-31 15:56:00,25,60,Mostly Cloudy
2023-05-31 16:56:00,25,60,Mostly Cloudy
2023-05-31 17:56:00,24,67,Mostly Cloudy
2023-05-31 18:56:00,24,67,Mostly Cloudy
2023-05-31 19:56:00,24,69,Partly Cloudy
2023-05-31 20:56:00,23,71,Partly Cloudy
2023-05-31 21:56:00,21,81,Partly Cloudy
2023-05-31 23:56:00,19,90,Mostly Cloudy
