timestamp,temp,dewPt,rh,wx_phrase
2024-01-15 02:56:00,6,-1,65,Cloudy
2024-01-15 03:56:00,6,-2,58,Cloudy
2024-01-15 04:56:00,5,1,76,Cloudy
2024-01-15 05:56:00,6,-1,62,Cloudy
2024-01-15 06:56:00,5,1,76,Cloudy
2024-01-15 07:56:00,4,2,86,Cloudy
2024-01-15 08:56:00,6,-1,62,Mostly Cloudy
2024-01-15 09:56:00,4,1,79,Mostly Cloudy
2024-01-15 10:56:00,8,1,61,Fair
2024-01-15 11:56:00,10,1,52,Partly Cloudy
2024-01-15 12:56:00,13,0,40,Mostly Cloudy
2024-01-15 13:56:00,16,3,42,Mostly Cloudy
2024-01-15 14:56:00,17,6,48,Mostly Cloudy
2024-01-15 15:56:00,17,6,46,Mostly Cloudy
2024-01-15 16:56:00,18,6,45,Mostly Cloudy
2024-01-15 17:56:00,18,6,46,Mostly Cloudy
2024-01-15 18:56:00,17,6,48,Mostly Cloudy
2024-01-15 19:56:00,16,5,48,Mostly Cloudy
2024-01-15 20:56:00,12,6,69,Mostly Cloudy
2024-01-15 21:56:00,9,7,83,Mostly Cloudy
2024-01-15 22:56:00,10,6,77,Fair
2024-01-15 23:56:00,8,6,86,Partly Cloudy
2024-01-16 00:56:00,7,6,90,Fair
2024-01-16 01:56:00,6,5,93,Fair
