time,ambient_temperature,relative_humidity,weather_condition
2022-12-14 00:56:00,6,73,Cloudy
2022-12-14 01:56:00,6,73,Cloudy
2022-12-14 02:56:00,6,73,Mostly Cloudy
2022-12-14 03:56:00,6,73,Cloudy
2022-12-14 04:56:00,6,68,Cloudy
2022-12-14 05:56:00,6,68,Cloudy
2022-12-14 06:56:00,6,68,Cloudy
2022-12-14 07:56:00,6,68,Cloudy
2022-12-14 08:56:00,7,63,Haze
2022-12-14 09:56:00,7,63,Cloudy
2022-12-14 10:56:00,8,61,Cloudy
2022-12-14 11:56:00,8,68,Cloudy
2022-12-14 12:56:00,8,66,Cloudy
2022-12-14 13:56:00,9,61,Cloudy
2022-12-14 14:56:00,9,68,Cloudy
2022-12-14 15:56:00,9,71,Cloudy
2022-12-14 16:56:00,9,71,Cloudy
2022-12-14 17:56:00,8,77,Light Rain
2022-12-14 18:56:00,7,96,Light Rain
2022-12-14 19:56:00,7,96,Light Rain
2022-12-14 20:56:00,7,96,Light Rain
2022-12-14 21:56:00,7,97,Fog
2022-12-14 22:56:00,8,96,Cloudy
2022-12-14 23:56:00,8,96,Light Rain
