time,ambient_temperature,relative_humidity,weather_condition
2024-04-07 00:56:00,8,86,Fair
2024-04-07 01:56:00,7,89,Fair
2024-04-07 02:56:00,9,64,Fair
2024-04-07 03:56:00,10,52,Fair
2024-04-07 04:56:00,8,61,Fair
2024-04-07 05:56:00,4,86,Fair
2024-04-07 06:56:00,3,93,Mostly Cloudy
2024-04-07 07:56:00,6,85,Partly Cloudy
2024-04-07 08:56:00,11,52,Partly Cloudy
2024-04-07 09:56:00,13,45,Partly Cloudy
2024-04-07 10:56:00,14,42,Partly Cloudy
2024-04-07 11:56:00,16,39,Partly Cloudy
2024-04-07 12:56:00,17,38,Partly Cloudy
2024-04-07 13:56:00,18,36,Fair
2024-04-07 14:56:00,20,33,Fair
2024-04-07 15:56:00,21,32,Partly Cloudy
2024-04-07 16:56:00,22,30,Fair
2024-04-07 17:56:00,22,30,Partly Cloudy
2024-04-07 18:56:00,21,35,Partly Cloudy
2024-04-07 19:56:00,19,37,Partly Cloudy
2024-04-07 20:56:00,16,57,Fair
2024-04-07 21:56:00,15,60,Fair
2024-04-07 22:56:00,14,67,Fair
2024-04-07 23:56:00,13,74,Fair
