timestamp,temp,dewPt,rh,wx_phrase
2023-06-11 02:56:00,21,16,73,Fair
2023-06-11 03:56:00,21,17,78,Fair
2023-06-11 04:56:00,21,17,81,Fair
2023-06-11 05:56:00,20,17,84,Fair
2023-06-11 06:56:00,19,18,90,Fair
2023-06-11 07:56:00,19,17,90,Fair
2023-06-11 08:56:00,19,18,93,Fair
2023-06-11 09:56:00,21,19,90,Fair
2023-06-11 10:56:00,23,19,79,Partly Cloudy
2023-06-11 11:56:00,27,22,74,Mostly Cloudy
2023-06-11 12:56:00,28,21,63,Partly Cloudy
2023-06-11 13:56:00,29,21,61,Mostly Cloudy
2023-06-11 14:56:00,31,20,53,Mostly Cloudy
2023-06-11 15:56:00,29,20,57,Rain
2023-06-11 16:06:00,29,20,58,Thunder
2023-06-11 16:10:00,26,21,74,Heavy T-Storm / Windy
2023-06-11 16:13:00,24,21,82,Heavy T-Storm / Windy
2023-06-11 16:15:00,23,21,85,Heavy T-Storm / Windy
2023-06-11 16:20:00,22,19,87,Heavy T-Storm
2023-06-11 16:25:00,22,21,93,T-Storm
2023-06-11 16:44:00,23,21,90,T-Storm
2023-06-11 16:56:00,22,21,96,Light Rain
2023-06-11 17:03:00,22,21,93,Light Rain
2023-06-11 17:09:00,22,21,93,T-Storm
2023-06-11 17:14:00,22,21,93,Heavy T-Storm
2023-06-11 17:17:00,22,21,93,Heavy Rain
2023-06-11 17:18:00,22,21,93,Heavy T-Storm
2023-06-11 17:20:00,22,21,93,Rain
2023-06-11 17:39:00,22,21,96,Rain
2023-06-11 17:56:00,22,21,96,Rain
2023-06-11 17:59:00,22,21,96,Light Rain
2023-06-11 18:01:00,22,21,96,Light Rain
2023-06-11 18:24:00,22,21,96,Light Rain
2023-06-11 18:56:00,22,21,93,Mostly Cloudy
2023-06-11 19:28:00,21,21,97,Light Rain
2023-06-11 19:56:00,21,21,97,Light Rain
2023-06-11 20:56:00,22,21,93,Mostly Cloudy
2023-06-11 21:56:00,21,21,97,Mostly Cloudy
2023-06-11 22:56:00,21,21,100,Mostly Cloudy
2023-06-11 23:30:00,21,21,100,Mostly Cloudy
2023-06-11 23:56:00,21,21,100,Mostly Cloudy
2023-06-12 00:56:00,21,19,93,Cloudy
2023-06-12 01:56:00,20,19,96,Partly Cloudy
