time,ambient_temperature,relative_humidity,weather_condition
2022-04-20 00:56:00,7,90,Fair
2022-04-20 01:56:00,6,89,Fair
2022-04-20 02:56:00,7,82,Fair
2022-04-20 03:56:00,5,93,Fair
2022-04-20 04:56:00,5,89,Fair
2022-04-20 05:56:00,7,82,Fair
2022-04-20 06:56:00,6,80,Fair
2022-04-20 07:56:00,8,63,Fair
2022-04-20 08:56:00,11,50,Fair
2022-04-20 09:56:00,13,43,Fair
2022-04-20 10:56:00,15,41,Partly Cloudy
2022-04-20 11:56:00,17,39,Mostly Cloudy
2022-04-20 12:56:00,18,38,Mostly Cloudy
2022-04-20 13:56:00,19,36,Mostly Cloudy
2022-04-20 14:56:00,19,34,Mostly Cloudy
2022-04-20 15:56:00,21,35,Mostly Cloudy
2022-04-20 16:56:00,21,35,Mostly Cloudy
2022-04-20 17:56:00,21,36,Partly Cloudy
2022-04-20 18:56:00,19,40,Partly Cloudy
2022-04-20 19:56:00,18,48,Partly Cloudy
2022-04-20 20:56:00,16,60,Partly Cloudy
2022-04-20 21:56:00,16,62,Partly Cloudy
2022-04-20 22:56:00,14,65,Partly Cloudy
2022-04-20 23:56:00,14,64,Partly Cloudy
