time,ambient_temperature,relative_humidity,weather_condition
2024-03-06 00:56:00,16,93,Cloudy
2024-03-06 01:56:00,15,100,Rain
2024-03-06 02:56:00,15,100,Heavy Rain
2024-03-06 03:37:00,14,100,Rain
2024-03-06 03:54:00,14,100,Rain
2024-03-06 03:56:00,14,100,Rain
2024-03-06 04:22:00,14,100,Heavy Rain
2024-03-06 04:36:00,14,100,Heavy Rain
2024-03-06 04:56:00,14,100,Rain
2024-03-06 05:23:00,15,100,Rain
2024-03-06 05:56:00,14,100,Rain
2024-03-06 06:13:00,14,100,Heavy Rain
2024-03-06 06:36:00,14,100,Heavy Rain
2024-03-06 06:56:00,14,100,Heavy Rain
2024-03-06 07:35:00,14,100,Heavy Rain
2024-03-06 07:56:00,14,100,Mist
2024-03-06 08:21:00,14,100,Rain
2024-03-06 08:30:00,14,100,Heavy Rain
2024-03-06 08:56:00,14,100,Heavy Rain
2024-03-06 09:25:00,15,100,Heavy Rain
2024-03-06 09:56:00,15,100,Heavy Rain
2024-03-06 10:31:00,16,100,Light Rain
2024-03-06 10:56:00,16,97,Cloudy
2024-03-06 11:23:00,17,96,Cloudy
2024-03-06 11:56:00,18,90,Cloudy
2024-03-06 12:23:00,19,87,Mostly Cloudy
2024-03-06 12:56:00,20,81,Mostly Cloudy
2024-03-06 13:56:00,21,76,Cloudy
2024-03-06 14:06:00,22,73,Mostly Cloudy
2024-03-06 14:56:00,22,73,Cloudy
2024-03-06 15:56:00,22,73,Mostly Cloudy
2024-03-06 16:56:00,19,90,T-Storm
2024-03-06 17:05:00,19,93,Heavy T-Storm
2024-03-06 17:16:00,18,97,Heavy T-Storm
2024-03-06 17:22:00,18,100,Heavy T-Storm
2024-03-06 17:53:00,17,100,T-Storm
2024-03-06 17:56:00,17,100,Light Rain
2024-03-06 18:54:00,17,100,Cloudy
2024-03-06 18:56:00,17,100,Mostly Cloudy
2024-03-06 19:56:00,16,100,Cloudy
2024-03-06 20:56:00,16,100,Cloudy
2024-03-06 21:56:00,16,100,Cloudy
2024-03-06 22:56:00,16,96,Cloudy
2024-03-06 23:56:00,15,93,Cloudy
