time,ambient_temperature,relative_humidity,weather_condition
2023-02-19 00:56:00,0,85,Fair
2023-02-19 01:56:00,1,82,Fair
2023-02-19 02:56:00,1,89,Fair
2023-02-19 03:56:00,2,82,Fair
2023-02-19 04:56:00,4,79,Mostly Cloudy
2023-02-19 05:56:00,5,76,Mostly Cloudy
2023-02-19 06:56:00,3,89,Mostly Cloudy
2023-02-19 07:56:00,4,83,Mostly Cloudy
2023-02-19 08:56:00,6,80,Mostly Cloudy
2023-02-19 09:56:00,8,66,Cloudy
2023-02-19 10:56:00,9,64,Mostly Cloudy
2023-02-19 11:56:00,11,61,Mostly Cloudy
2023-02-19 12:56:00,13,62,Mostly Cloudy
2023-02-19 13:56:00,15,58,Mostly Cloudy
2023-02-19 14:56:00,17,58,Mostly Cloudy
2023-02-19 15:56:00,17,60,Mostly Cloudy
2023-02-19 16:56:00,18,56,Partly Cloudy
2023-02-19 17:56:00,17,62,Fair
2023-02-19 18:56:00,15,69,Fair
2023-02-19 19:56:00,13,80,Fair
2023-02-19 20:56:00,11,89,Fair
2023-02-19 21:56:00,8,93,Fair
2023-02-19 22:56:00,8,97,Fair
2023-02-19 23:56:00,10,89,Partly Cloudy
