timestamp,temp,dewPt,rh,wx_phrase
2024-01-01 02:56:00,7,2,68,Partly Cloudy
2024-01-01 03:56:00,6,2,74,Partly Cloudy
2024-01-01 04:56:00,6,2,74,Mostly Cloudy
2024-01-01 05:56:00,5,2,79,Mostly Cloudy
2024-01-01 06:56:00,4,2,83,Cloudy
2024-01-01 07:56:00,4,2,83,Cloudy
2024-01-01 08:56:00,4,1,82,Cloudy
2024-01-01 09:56:00,4,2,83,Mostly Cloudy
2024-01-01 10:56:00,6,2,76,Mostly Cloudy
2024-01-01 11:56:00,9,3,64,Mostly Cloudy
2024-01-01 12:56:00,12,3,53,Mostly Cloudy
2024-01-01 13:56:00,14,3,46,Mostly Cloudy
2024-01-01 14:56:00,15,3,44,Mostly Cloudy
2024-01-01 15:56:00,14,2,44,Mostly Cloudy
2024-01-01 16:56:00,15,3,44,Mostly Cloudy
2024-01-01 17:56:00,14,3,46,Mostly Cloudy
2024-01-01 18:56:00,13,3,53,Partly Cloudy
2024-01-01 19:56:00,11,3,59,Partly Cloudy
2024-01-01 20:56:00,10,1,54,Partly Cloudy
2024-01-01 21:56:00,8,-2,48,Partly Cloudy
2024-01-01 22:56:00,7,-3,49,Partly Cloudy
2024-01-01 23:56:00,6,-4,51,Partly Cloudy
2024-01-02 00:56:00,6,-4,51,Partly Cloudy
2024-01-02 01:56:00,5,-4,53,Partly Cloudy
