timestamp,temp,dewPt,rh,wx_phrase
2023-10-15 02:56:00,19,13,68,Fair
2023-10-15 03:56:00,17,10,63,Fair
2023-10-15 04:56:00,14,10,75,Fair
2023-10-15 05:56:00,13,11,84,Fair
2023-10-15 06:56:00,16,9,64,Fair
2023-10-15 07:56:00,15,8,64,Fair
2023-10-15 08:56:00,11,9,89,Fair
2023-10-15 09:56:00,11,9,89,Fair
2023-10-15 10:56:00,14,11,81,Fair
2023-10-15 11:56:00,18,11,63,Fair
2023-10-15 12:56:00,19,11,59,Fair
2023-10-15 13:56:00,21,11,53,Partly Cloudy
2023-10-15 14:56:00,20,9,50,Mostly Cloudy
2023-10-15 15:56:00,20,9,50,Cloudy
2023-10-15 16:56:00,19,9,52,Cloudy
2023-10-15 17:56:00,19,10,54,Cloudy
2023-10-15 18:56:00,18,10,58,Cloudy
2023-10-15 19:56:00,18,9,56,Cloudy
2023-10-15 20:56:00,17,9,62,Cloudy
2023-10-15 21:56:00,16,11,75,Cloudy
2023-10-15 22:56:00,15,11,75,Cloudy
2023-10-15 23:56:00,14,12,84,Cloudy
2023-10-16 00:56:00,15,12,81,Cloudy
2023-10-16 01:56:00,13,12,90,Light Rain
