time,ambient_temperature,relative_humidity,weather_condition
2023-04-03 00:56:00,12,77,Partly Cloudy
2023-04-03 01:56:00,12,77,Partly Cloudy
2023-04-03 02:56:00,9,86,Partly Cloudy
2023-04-03 03:56:00,11,83,Partly Cloudy
2023-04-03 04:56:00,11,89,Partly Cloudy
2023-04-03 05:56:00,10,93,Partly Cloudy
2023-04-03 06:56:00,10,89,Mostly Cloudy
2023-04-03 07:56:00,11,96,Cloudy
2023-04-03 08:56:00,12,93,Mostly Cloudy
2023-04-03 09:56:00,15,87,Mostly Cloudy
2023-04-03 10:56:00,16,86,Cloudy
2023-04-03 11:56:00,17,81,Cloudy
2023-04-03 12:56:00,18,84,Cloudy
2023-04-03 13:56:00,19,78,Mostly Cloudy
2023-04-03 14:56:00,19,79,Cloudy
2023-04-03 15:56:00,19,76,Cloudy
2023-04-03 16:56:00,20,76,Mostly Cloudy
2023-04-03 17:56:00,20,76,Mostly Cloudy
2023-04-03 18:56:00,20,78,Cloudy
2023-04-03 19:56:00,19,81,Light Rain
2023-04-03 20:56:00,19,87,Cloudy
2023-04-03 21:56:00,18,90,Light Rain
2023-04-03 22:56:00,18,96,Cloudy
2023-04-03 23:56:00,17,97,Cloudy
