timestamp,temp,dewPt,rh,wx_phrase
2023-08-01 02:56:00,23,21,87,Fair
2023-08-01 03:56:00,23,21,90,Fair
2023-08-01 04:56:00,22,21,93,Fair
2023-08-01 05:56:00,22,21,93,Mostly Cloudy
2023-08-01 06:56:00,22,21,93,Mostly Cloudy
2023-08-01 07:56:00,23,21,87,Mostly Cloudy
2023-08-01 08:56:00,23,22,93,Mostly Cloudy
2023-08-01 09:56:00,23,21,87,Partly Cloudy
2023-08-01 10:56:00,25,21,79,Fair
2023-08-01 11:56:00,27,22,72,Fair
2023-08-01 12:56:00,29,22,65,Partly Cloudy
2023-08-01 13:56:00,31,22,59,Partly Cloudy
2023-08-01 14:56:00,31,22,61,Partly Cloudy
2023-08-01 15:56:00,31,21,57,Mostly Cloudy
2023-08-01 16:56:00,32,21,52,Partly Cloudy
2023-08-01 17:56:00,31,20,51,Partly Cloudy
2023-08-01 18:56:00,28,22,69,Light Rain
2023-08-01 19:56:00,29,23,69,Mostly Cloudy
2023-08-01 20:56:00,28,21,65,Partly Cloudy
2023-08-01 21:56:00,27,21,69,Partly Cloudy
2023-08-01 22:56:00,26,22,79,Fair
2023-08-01 23:56:00,26,21,72,Fair
2023-08-02 00:56:00,24,21,84,Partly Cloudy
2023-08-02 01:56:00,23,21,85,Cloudy
