Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1040473,-,-,-,33.97,-81.06,-5,60,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2003,1,1,0,30,16.6,0,0,0,6,16.2,0,0,0,0,97.63,169.05,0.14,1001,4,132,2.6,0.0000,0.0000
2003,1,1,1,30,17,0,0,0,7,16.6,0,0,0,0,97.19,162.49,0.14,999,4.1000000000000005,132,3.2,0.0000,0.0000
2003,1,1,2,30,17.2,0,0,0,6,16.8,0,0,0,0,97.58,151.1,0.14,997,4.2,144,3.3000000000000003,0.0000,0.0000
2003,1,1,3,30,17.1,0,0,0,6,17,0,0,0,0,99.28,138.81,0.14,997,4.1000000000000005,179,2.6,0.0000,0.0000
2003,1,1,4,30,16.3,0,0,0,8,16.3,0,0,0,0,100,126.39,0.14,998,3.6,227,2.4000000000000004,0.0000,0.0000
2003,1,1,5,30,14.4,0,0,0,3,14.4,0,0,0,0,100,114.11,0.14,999,2.7,248,1.8,0.0000,0.0000
2003,1,1,6,30,11.9,0,0,0,3,11.9,0,0,0,0,100,102.16,0.14,999,1.7000000000000002,239,0.9,0.0000,0.0000
2003,1,1,7,30,11.5,0,0,0,7,10.600000000000001,0,0,0,0,94.23,90.17,0.14,1000,1.2000000000000002,230,1.2000000000000002,0.0000,0.0000
2003,1,1,8,30,12.9,41,588,142,7,11.5,64,107,7,82,90.98,80.13,0.14,1000,1.4000000000000001,224,1.8,0.0000,0.0000
2003,1,1,9,30,14.3,60,749,306,4,11.8,93,0,0,93,85.08,70.88,0.14,1000,1.9000000000000001,219,2.3000000000000003,4.7232,3.6535
2003,1,1,10,30,15.4,76,807,436,8,12.3,185,50,0,207,81.56,63.45,0.14,1000,2.3000000000000003,221,3,11.1641,8.7003
2003,1,1,11,30,15.8,84,843,523,7,12.700000000000001,205,392,0,409,81.62,58.58,0.14,999,2.3000000000000003,230,3.3000000000000003,22.7310,17.7671
2003,1,1,12,30,15.9,85,864,556,3,12.5,248,222,0,369,80.08,56.94,0.14,999,2.1,238,3.4000000000000004,20.6861,16.1814
2003,1,1,13,30,16.1,80,862,526,4,12.4,217,47,0,241,78.52,58.83,0.14,999,2,247,3.3000000000000003,13.3756,10.4534
2003,1,1,14,30,16,74,817,433,3,12.3,169,24,0,180,78.49,63.910000000000004,0.14,999,2,253,2.9000000000000004,9.6768,7.5387
2003,1,1,15,30,15.4,62,727,293,0,12.3,62,727,0,293,81.94,71.5,0.14,1000,2,253,2.3000000000000003,14.7961,11.4351
2003,1,1,16,30,13.8,42,524,125,3,12.4,58,58,0,68,91.03,80.85000000000001,0.14,1000,1.9000000000000001,250,1.6,0.0000,0.0000
2003,1,1,17,30,12.3,0,0,0,3,11.8,0,0,0,0,96.71000000000001,91.57000000000001,0.14,1001,1.7000000000000002,248,1.3,0.0000,0.0000
2003,1,1,18,30,11.8,0,0,0,0,11.5,0,0,0,0,97.92,103.01,0.14,1002,1.6,248,1.4000000000000001,0.0000,0.0000
2003,1,1,19,30,10.600000000000001,0,0,0,0,10.600000000000001,0,0,0,0,100,114.99000000000001,0.14,1003,1.5,251,1.3,0.0000,0.0000
2003,1,1,20,30,10,0,0,0,0,10,0,0,0,0,100,127.29,0.14,1003,1.4000000000000001,252,1.2000000000000002,0.0000,0.0000
2003,1,1,21,30,9.4,0,0,0,0,9.4,0,0,0,0,100,139.71,0.14,1004,1.4000000000000001,249,1.1,0.0000,0.0000
2003,1,1,22,30,8.9,0,0,0,0,8.9,0,0,0,0,100,151.97,0.14,1004,1.4000000000000001,246,1.1,0.0000,0.0000
2003,1,1,23,30,8.5,0,0,0,0,8.5,0,0,0,0,100,163.19,0.14,1004,1.4000000000000001,245,1.1,0.0000,0.0000
2003,1,2,0,30,8.1,0,0,0,0,8.1,0,0,0,0,100,168.97,0.14,1004,1.4000000000000001,247,1.1,0.0000,0.0000
2003,1,2,1,30,7.800000000000001,0,0,0,0,7.800000000000001,0,0,0,0,100,162.52,0.14,1004,1.4000000000000001,250,1,0.0000,0.0000
2003,1,2,2,30,7.6000000000000005,0,0,0,0,7.6000000000000005,0,0,0,0,100,151.16,0.14,1005,1.5,254,1,0.0000,0.0000
2003,1,2,3,30,7.5,0,0,0,1,7.5,0,0,0,0,100,138.87,0.14,1005,1.6,254,1,0.0000,0.0000
2003,1,2,4,30,7.5,0,0,0,8,7.5,0,0,0,0,100,126.45,0.14,1005,1.7000000000000002,251,1,0.0000,0.0000
2003,1,2,5,30,7.5,0,0,0,7,7.5,0,0,0,0,100,114.16,0.14,1006,1.7000000000000002,248,1.2000000000000002,0.0000,0.0000
2003,1,2,6,30,7.6000000000000005,0,0,0,7,7.5,0,0,0,0,99.26,102.21000000000001,0.14,1006,1.7000000000000002,245,1.3,0.0000,0.0000
2003,1,2,7,30,8,0,0,0,7,7.4,0,0,0,0,96.14,90.19,0.14,1007,1.6,243,1.5,0.0000,0.0000
2003,1,2,8,30,9.200000000000001,46,535,138,0,7.9,46,535,0,138,91.72,80.14,0.14,1007,1.6,243,1.8,0.0000,0.0000
2003,1,2,9,30,11,66,739,308,3,8.700000000000001,47,0,0,47,85.77,70.88,0.14,1008,1.6,244,2.1,2.3870,1.8464
2003,1,2,10,30,12.600000000000001,78,826,448,3,9.3,93,0,0,93,80.34,63.42,0.14,1007,1.6,245,2.3000000000000003,5.0168,3.9097
2003,1,2,11,30,13.100000000000001,88,860,537,3,9.4,100,0,0,100,78.27,58.52,0.14,1007,1.5,243,2.2,5.5595,4.3456
2003,1,2,12,30,12.8,92,867,566,3,9.3,113,0,0,113,79.19,56.86,0.14,1006,1.5,238,2.1,6.3373,4.9575
2003,1,2,13,30,12.3,92,847,532,3,9.1,80,0,0,80,81,58.71,0.14,1006,1.5,234,2,4.4430,3.4725
2003,1,2,14,30,11.8,88,791,437,3,9,126,0,0,126,83.09,63.78,0.14,1006,1.5,231,1.8,6.7800,5.2824
2003,1,2,15,30,11.3,74,689,295,3,9,107,0,0,107,85.77,71.36,0.14,1006,1.5,227,1.4000000000000001,5.4103,4.1822
2003,1,2,16,30,10.5,52,443,123,0,9.200000000000001,52,443,0,123,91.71000000000001,80.71000000000001,0.14,1007,1.5,220,0.9,0.0000,0.0000
2003,1,2,17,30,9.200000000000001,0,0,0,0,9.1,0,0,0,0,99,91.43,0.14,1007,1.5,204,0.6000000000000001,0.0000,0.0000
2003,1,2,18,30,8.4,0,0,0,1,8.3,0,0,0,0,99.4,102.88,0.14,1007,1.5,194,0.6000000000000001,0.0000,0.0000
2003,1,2,19,30,7.1000000000000005,0,0,0,7,7.1000000000000005,0,0,0,0,100,114.85000000000001,0.14,1006,1.6,170,0.9,0.0000,0.0000
2003,1,2,20,30,7,0,0,0,7,7,0,0,0,0,100,127.15,0.14,1006,1.6,162,1,0.0000,0.0000
2003,1,2,21,30,7,0,0,0,7,7,0,0,0,0,100,139.58,0.14,1005,1.6,158,1.1,0.0000,0.0000
2003,1,2,22,30,7,0,0,0,7,7,0,0,0,0,100,151.83,0.14,1004,1.6,153,1.2000000000000002,0.0000,0.0000
