Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1040473,-,-,-,33.97,-81.06,-5,60,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2022,1,1,0,30,18.6,0,0,0,0,18.6,0,0,0,0,100,169.03,0.14,1007,3.8000000000000003,208,1.4000000000000001,0.0000,0.0000
2022,1,1,1,30,18.7,0,0,0,0,18.7,0,0,0,0,100,162.5,0.14,1007,3.8000000000000003,210,1.4000000000000001,0.0000,0.0000
2022,1,1,2,30,18.900000000000002,0,0,0,0,18.900000000000002,0,0,0,0,99.95,151.12,0.14,1007,3.7,215,1.6,0.0000,0.0000
2022,1,1,3,30,18.900000000000002,0,0,0,0,18.900000000000002,0,0,0,0,100,138.83,0.14,1007,3.6,218,1.6,0.0000,0.0000
2022,1,1,4,30,19,0,0,0,0,19,0,0,0,0,99.79,126.41,0.14,1007,3.5,217,1.7000000000000002,0.0000,0.0000
2022,1,1,5,30,19.1,0,0,0,3,19,0,0,0,0,99.68,114.12,0.14,1006,3.4000000000000004,217,1.8,0.0000,0.0000
2022,1,1,6,30,19,0,0,0,0,19,0,0,0,0,99.99000000000001,102.17,0.14,1006,3.3000000000000003,215,1.9000000000000001,0.0000,0.0000
2022,1,1,7,30,19.400000000000002,5,41,5,3,19,2,0,43,2,97.25,90.19,0.14,1007,3.1,214,2,0.0000,0.0000
2022,1,1,8,30,20.5,44,505,131,3,19.400000000000002,53,173,21,83,93.39,80.13,0.14,1007,3.1,214,2.3000000000000003,0.0000,0.0000
2022,1,1,9,30,22.1,59,727,297,0,20,112,386,4,238,88.06,70.87,0.14,1007,3,217,2.6,12.0885,9.3507
2022,1,1,10,30,23.8,62,831,434,8,20.200000000000003,190,163,46,263,80.52,63.43,0.14,1007,3,221,3.1,14.1863,11.0557
2022,1,1,11,30,24.900000000000002,64,874,520,3,19.700000000000003,209,204,0,315,73.06,58.54,0.14,1006,3.1,221,3.4000000000000004,17.5106,13.6870
2022,1,1,12,30,25.400000000000002,67,877,546,0,19.200000000000003,128,622,0,468,68.45,56.9,0.14,1005,3.3000000000000003,220,3.5,26.2414,20.5273
2022,1,1,13,30,25.400000000000002,70,853,512,3,18.8,198,328,0,368,66.99,58.77,0.14,1004,3.4000000000000004,220,3.5,20.4309,15.9678
2022,1,1,14,30,25,65,811,422,3,18.6,166,105,0,212,67.73,63.85,0.14,1004,3.4000000000000004,220,3.4000000000000004,11.4019,8.8830
2022,1,1,15,30,24,56,719,285,0,18.6,86,528,0,254,71.76,71.44,0.14,1003,3.4000000000000004,217,3,12.8338,9.9194
2022,1,1,16,30,22.700000000000003,39,511,121,0,18.7,39,511,0,121,77.95,80.8,0.14,1003,3.3000000000000003,214,2.5,0.0000,0.0000
2022,1,1,17,30,21.700000000000003,3,23,2,0,18.400000000000002,3,23,0,2,81.29,91.52,0.14,1003,3.2,212,2.4000000000000004,0.0000,0.0000
2022,1,1,18,30,21.1,0,0,0,0,18,0,0,0,0,82.56,102.96000000000001,0.14,1004,3.1,212,2.5,0.0000,0.0000
2022,1,1,19,30,20.5,0,0,0,0,17.5,0,0,0,0,83.14,114.94,0.14,1004,3,211,2.6,0.0000,0.0000
2022,1,1,20,30,20.1,0,0,0,0,17,0,0,0,0,82.42,127.24000000000001,0.14,1004,3.1,210,2.7,0.0000,0.0000
2022,1,1,21,30,19.700000000000003,0,0,0,0,16.6,0,0,0,0,82.36,139.66,0.14,1003,3.2,209,2.7,0.0000,0.0000
2022,1,1,22,30,19.6,0,0,0,3,16.5,0,0,0,0,82.48,151.92000000000002,0.14,1003,3.2,210,2.7,0.0000,0.0000
2022,1,1,23,30,19.5,0,0,0,0,16.7,0,0,0,0,84.10000000000001,163.15,0.14,1003,3.2,211,3,0.0000,0.0000
2022,1,2,0,30,19.400000000000002,0,0,0,0,17.2,0,0,0,0,87.05,168.95000000000002,0.14,1002,3.1,212,3.2,0.0000,0.0000
2022,1,2,1,30,19.3,0,0,0,3,17.7,0,0,0,0,90.60000000000001,162.52,0.14,1002,2.9000000000000004,212,3.4000000000000004,0.0000,0.0000
2022,1,2,2,30,19.400000000000002,0,0,0,3,18.2,0,0,0,0,92.76,151.17000000000002,0.14,1001,2.8000000000000003,213,3.6,0.0000,0.0000
2022,1,2,3,30,19.6,0,0,0,0,18.6,0,0,0,0,93.83,138.89000000000001,0.14,1001,2.7,214,3.7,0.0000,0.0000
2022,1,2,4,30,19.6,0,0,0,0,18.8,0,0,0,0,95.15,126.47,0.14,1001,2.8000000000000003,216,3.7,0.0000,0.0000
2022,1,2,5,30,19.6,0,0,0,0,18.900000000000002,0,0,0,0,95.52,114.17,0.14,1001,3,217,3.7,0.0000,0.0000
2022,1,2,6,30,19.6,0,0,0,0,18.900000000000002,0,0,0,0,95.65,102.22,0.14,1002,3.2,217,3.6,0.0000,0.0000
2022,1,2,7,30,19.8,5,40,5,0,18.900000000000002,5,40,0,5,94.61,90.22,0.14,1002,3.5,217,3.4000000000000004,0.0000,0.0000
2022,1,2,8,30,20.5,45,491,129,3,19.200000000000003,31,56,32,41,92.13,80.14,0.14,1003,3.7,218,3.3000000000000003,0.0000,0.0000
2022,1,2,9,30,21.5,67,672,287,5,19.6,51,5,4,53,89.07000000000001,70.87,0.14,1003,4,221,3.3000000000000003,2.6920,2.0823
