time,inv29_rh,inv30_rh,inv31_rh,rh,inv29_temp1,inv30_temp1,inv31_temp1,temp1,inv29_temp2,inv30_temp2,inv31_temp2,temp2,ir
2023-11-04 00:05:00,20.396,20.81,24.7,86.48,6.209,6.514,6.034,0.093,6.809,7.034,6.918,2.873,0.0
2023-11-04 00:10:00,20.521,20.864,24.653,87.093,6.053,6.369,5.887,0.113,6.676,6.885,6.787,2.903,0.0
2023-11-04 00:15:00,20.656,20.8,24.6,87.281,5.922,6.22,5.763,0.238,6.549,6.754,6.656,2.936,0.0
2023-11-04 00:20:00,20.849,20.8,24.517,87.444,5.791,6.065,5.646,0.442,6.425,6.633,6.54,3.082,0.0
2023-11-04 00:25:00,20.94,20.8,24.472,86.608,5.672,5.951,5.537,0.654,6.31,6.518,6.421,3.37,0.0
2023-11-04 00:30:00,21.0,20.8,24.362,85.608,5.559,5.832,5.435,0.677,6.189,6.408,6.321,3.392,0.0
2023-11-04 00:35:00,21.014,20.71,24.3,85.084,5.43,5.719,5.33,0.556,6.079,6.306,6.213,3.394,0.0
2023-11-04 00:40:00,21.092,20.7,24.221,84.949,5.327,5.61,5.226,0.523,5.969,6.181,6.091,3.34,0.0
2023-11-04 00:45:00,21.189,20.7,24.159,85.306,5.203,5.493,5.1,0.581,5.885,6.073,5.987,3.222,0.0
2023-11-04 00:50:00,21.199,20.7,24.1,85.979,5.085,5.387,5.004,0.559,5.791,5.973,5.894,3.098,0.0
2023-11-04 00:55:00,21.228,20.7,24.022,86.367,4.983,5.286,4.905,0.454,5.69,5.884,5.801,2.983,0.0
2023-11-04 01:00:00,21.301,20.7,24.0,86.575,4.881,5.154,4.813,0.34,5.607,5.792,5.709,2.998,0.0
2023-11-04 01:05:00,21.407,20.7,23.988,86.7,4.793,5.058,4.723,0.533,5.523,5.706,5.624,3.147,0.0
2023-11-04 01:10:00,21.471,20.7,23.9,86.816,4.697,4.976,4.644,0.538,5.446,5.619,5.555,3.07,0.0
2023-11-04 01:15:00,21.517,20.7,23.848,87.109,4.61,4.882,4.577,0.435,5.378,5.544,5.473,2.956,0.0
2023-11-04 01:20:00,21.603,20.698,23.8,87.233,4.525,4.802,4.495,0.486,5.303,5.477,5.397,2.912,0.0
2023-11-04 01:25:00,21.671,20.7,23.759,87.396,4.439,4.708,4.41,0.481,5.218,5.397,5.324,2.91,0.0
2023-11-04 01:30:00,21.701,20.7,23.7,87.4,4.368,4.631,4.343,0.515,5.126,5.312,5.252,2.943,0.0
2023-11-04 01:35:00,21.761,20.7,23.699,87.565,4.29,4.555,4.278,0.427,5.067,5.249,5.155,2.905,0.0
2023-11-04 01:40:00,21.939,20.7,23.608,87.925,4.206,4.492,4.187,0.601,5.0,5.156,5.085,2.979,0.0
2023-11-04 01:45:00,22.005,20.7,23.575,87.686,4.115,4.405,4.108,0.643,4.932,5.097,5.027,2.978,0.0
2023-11-04 01:50:00,21.994,20.7,23.5,87.661,4.04,4.339,4.049,0.38,4.891,5.023,4.972,2.868,0.0
2023-11-04 01:55:00,22.064,20.7,23.5,88.017,3.991,4.277,3.991,0.428,4.817,4.984,4.909,2.818,0.0
2023-11-04 02:00:00,22.1,20.7,23.5,88.101,3.916,4.177,3.917,0.338,4.769,4.906,4.859,2.777,0.0
2023-11-04 02:05:00,22.126,20.7,23.5,88.105,3.852,4.106,3.866,0.136,4.708,4.848,4.792,2.701,0.0
2023-11-04 02:10:00,22.2,20.7,23.469,88.66,3.792,4.037,3.797,0.152,4.652,4.796,4.726,2.666,0.0
2023-11-04 02:15:00,22.202,20.707,23.4,88.817,3.719,3.986,3.725,0.003,4.596,4.723,4.683,2.587,0.0
