time,inv29_rh,inv30_rh,inv31_rh,rh,inv29_temp1,inv30_temp1,inv31_temp1,temp1,inv29_temp2,inv30_temp2,inv31_temp2,temp2,ir
2023-10-14 00:05:00,45.131,44.051,35.998,95.326,20.336,20.57,20.209,18.026,21.155,21.291,21.192,18.349,0.028
2023-10-14 00:10:00,45.274,44.1,36.0,94.399,20.244,20.451,20.126,17.988,21.065,21.199,21.108,18.367,0.0
2023-10-14 00:15:00,45.394,44.175,36.0,94.743,20.176,20.382,20.057,17.934,20.975,21.118,21.021,18.309,0.0
2023-10-14 00:20:00,45.491,44.2,36.0,95.743,20.103,20.303,20.0,17.921,20.905,21.05,20.965,18.229,0.009
2023-10-14 00:25:00,45.51,44.2,36.0,96.51,20.022,20.23,19.95,17.91,20.821,20.992,20.899,18.127,0.009
2023-10-14 00:30:00,45.584,44.2,35.965,96.704,19.963,20.173,19.898,17.901,20.761,20.912,20.833,18.099,0.0
2023-10-14 00:35:00,45.6,44.2,35.901,96.37,19.9,20.105,19.851,17.9,20.704,20.869,20.799,18.1,0.0
2023-10-14 00:40:00,45.6,44.2,35.9,96.182,19.839,20.067,19.805,17.9,20.668,20.806,20.751,18.104,0.025
2023-10-14 00:45:00,45.574,44.193,35.84,95.859,19.799,20.0,19.8,17.905,20.62,20.788,20.71,18.126,0.0
2023-10-14 00:50:00,45.493,44.1,35.775,96.416,19.758,19.98,19.8,17.902,20.608,20.751,20.7,18.119,0.158
2023-10-14 00:55:00,45.424,44.1,35.67,96.975,19.703,19.917,19.786,17.897,20.578,20.704,20.688,18.091,0.0
2023-10-14 01:00:00,45.4,44.1,35.6,97.3,19.688,19.899,19.741,17.901,20.542,20.699,20.648,18.084,0.037
2023-10-14 01:05:00,45.4,44.1,35.561,97.579,19.639,19.87,19.707,17.907,20.516,20.684,20.609,18.076,0.009
2023-10-14 01:10:00,45.389,44.1,35.5,97.78,19.602,19.81,19.702,17.924,20.5,20.636,20.601,18.015,0.008
2023-10-14 01:15:00,45.436,44.1,35.5,97.995,19.556,19.801,19.696,17.906,20.45,20.605,20.599,17.96,0.0
2023-10-14 01:20:00,45.543,44.166,35.5,98.143,19.506,19.774,19.635,17.878,20.416,20.592,20.55,17.898,0.0
2023-10-14 01:25:00,45.663,44.243,35.5,98.328,19.479,19.708,19.555,17.868,20.367,20.528,20.489,17.897,0.0
2023-10-14 01:30:00,45.705,44.341,35.5,98.503,19.417,19.697,19.504,17.904,20.319,20.475,20.415,17.914,0.0
2023-10-14 01:35:00,45.798,44.4,35.5,98.645,19.4,19.672,19.5,17.966,20.291,20.428,20.4,17.988,0.009
2023-10-14 01:40:00,45.8,44.4,35.5,98.721,19.381,19.618,19.496,17.99,20.269,20.402,20.397,18.001,0.0
2023-10-14 01:45:00,45.8,44.4,35.5,98.839,19.344,19.597,19.491,17.999,20.249,20.401,20.388,18.001,0.009
2023-10-14 01:50:00,45.8,44.4,35.5,98.887,19.309,19.555,19.463,17.978,20.223,20.397,20.355,17.999,0.0
2023-10-14 01:55:00,45.861,44.464,35.5,98.9,19.297,19.512,19.417,17.941,20.202,20.376,20.31,18.0,0.0
