time,inv29_rh,inv30_rh,inv31_rh,rh,inv29_temp1,inv30_temp1,inv31_temp1,temp1,inv29_temp2,inv30_temp2,inv31_temp2,temp2,ir
2023-11-05 00:05:00,19.623,18.7,22.1,79.279,8.471,8.777,8.335,2.688,9.076,9.314,9.191,5.732,0.0
2023-11-05 00:10:00,19.5,18.72,22.1,79.974,8.342,8.647,8.2,2.195,8.926,9.19,9.06,5.399,0.0
2023-11-05 00:15:00,19.557,18.8,22.1,81.209,8.212,8.501,8.018,1.939,8.783,9.047,8.892,5.105,0.0
2023-11-05 00:20:00,19.738,18.814,22.106,82.711,8.036,8.36,7.869,1.867,8.648,8.872,8.755,4.973,0.0
2023-11-05 00:25:00,19.8,18.9,22.176,83.629,7.885,8.234,7.734,1.729,8.514,8.744,8.624,4.762,0.0
2023-11-05 00:30:00,19.899,18.9,22.1,84.439,7.76,8.06,7.598,1.615,8.377,8.615,8.485,4.633,0.0
2023-11-05 00:35:00,20.017,18.968,22.1,85.099,7.623,7.925,7.461,1.686,8.256,8.475,8.35,4.608,0.0
2023-11-05 00:40:00,20.266,19.0,22.1,84.668,7.493,7.798,7.34,2.041,8.12,8.348,8.233,4.994,0.0
2023-11-05 00:45:00,20.479,19.0,22.036,82.922,7.381,7.675,7.244,2.449,7.989,8.245,8.116,5.441,0.0
2023-11-05 00:50:00,20.471,18.933,21.977,81.833,7.277,7.558,7.149,2.452,7.89,8.14,7.998,5.401,0.0
2023-11-05 00:55:00,20.494,18.9,21.889,80.97,7.161,7.457,7.019,2.484,7.804,8.01,7.9,5.501,0.0
2023-11-05 01:00:00,20.57,18.9,21.8,81.317,7.023,7.346,6.932,2.487,7.716,7.914,7.805,5.401,0.0
2023-11-05 01:05:00,20.6,18.9,21.8,81.508,6.916,7.236,6.833,2.375,7.623,7.818,7.718,5.292,0.0
2023-11-05 01:10:00,20.666,18.9,21.715,81.288,6.817,7.131,6.736,2.397,7.528,7.718,7.628,5.301,0.0
2023-11-05 01:15:00,20.71,18.9,21.634,81.966,6.719,6.998,6.632,2.224,7.443,7.624,7.53,5.096,0.0
2023-11-05 01:20:00,20.777,18.952,21.6,82.195,6.623,6.894,6.542,2.024,7.356,7.532,7.434,4.919,0.0
2023-11-05 01:25:00,20.8,18.926,21.6,82.15,6.522,6.791,6.435,1.71,7.257,7.435,7.348,4.705,0.0
2023-11-05 01:30:00,20.858,19.0,21.6,83.098,6.415,6.692,6.329,1.483,7.155,7.341,7.241,4.522,0.0
2023-11-05 01:35:00,21.03,19.0,21.6,84.393,6.317,6.591,6.224,1.567,7.026,7.239,7.139,4.444,0.0
2023-11-05 01:40:00,21.1,19.057,21.6,85.226,6.2,6.491,6.098,1.588,6.929,7.136,7.014,4.391,0.0
2023-11-05 01:45:00,21.103,19.1,21.6,85.135,6.083,6.393,6.005,1.309,6.835,7.009,6.918,4.286,0.0
2023-11-05 01:50:00,21.202,19.1,21.56,84.904,5.988,6.291,5.902,1.277,6.733,6.906,6.825,4.277,0.0
2023-11-05 01:55:00,21.241,19.119,21.537,85.384,5.887,6.17,5.798,1.137,6.637,6.815,6.728,4.051,0.0
2023-11-05 01:00:00,21.294,19.2,21.582,85.986,5.784,6.062,5.696,0.954,6.532,6.717,6.625,3.86,0.0
2023-11-05 01:05:00,21.3,19.234,21.6,86.699,5.683,5.955,5.586,0.793,6.431,6.619,6.524,3.718,0.0
2023-11-05 01:10:00,21.397,19.3,21.6,87.306,5.585,5.856,5.483,0.736,6.329,6.512,6.418,3.607,0.0
2023-11-05 01:15:00,21.593,19.3,21.6,88.217,5.484,5.755,5.387,0.999,6.217,6.405,6.317,3.647,0.0
2023-11-05 01:20:00,21.904,19.3,21.565,87.555,5.394,5.667,5.298,1.436,6.099,6.315,6.21,4.007,0.0
2023-11-05 01:25:00,22.038,19.3,21.494,86.317,5.31,5.578,5.236,1.574,6.029,6.241,6.116,4.121,0.0
2023-11-05 01:30:00,22.013,19.3,21.4,86.278,5.214,5.496,5.127,1.375,5.965,6.127,6.055,4.038,0.0
2023-11-05 01:35:00,22.018,19.3,21.4,85.933,5.109,5.402,5.055,1.208,5.893,6.051,5.978,3.975,0.0
2023-11-05 01:40:00,22.047,19.307,21.368,85.991,5.018,5.319,4.978,1.025,5.809,5.978,5.897,3.85,0.0
2023-11-05 01:45:00,22.06,19.4,21.3,85.768,4.928,5.226,4.885,0.8,5.73,5.897,5.814,3.683,0.0
2023-11-05 01:50:00,22.07,19.4,21.302,85.901,4.849,5.113,4.792,0.537,5.653,5.8,5.734,3.39,0.0
2023-11-05 01:55:00,22.166,19.401,21.328,87.246,4.757,5.02,4.704,0.576,5.563,5.714,5.643,3.327,0.0
2023-11-05 02:00:00,22.422,19.496,21.306,87.585,4.681,4.941,4.622,0.993,5.488,5.63,5.576,3.642,0.0
2023-11-05 02:05:00,22.492,19.453,21.3,87.065,4.608,4.88,4.583,1.086,5.419,5.587,5.501,3.665,0.0
