Time,Current NG (RMS) (RMS),Current NG (RMS),Current AN (RMS) (RMS),Current AN (RMS),Current LineToNeutralAverage (RMS),Current BN (RMS),Current CN (RMS),Current AN (TotalTHD),Current BN (TotalTHD),Current CN (TotalTHD),Power Total (S),Power Total (Q),Power Total (P),Voltage AN (TotalTHD),Voltage BN (TotalTHD),Voltage CN (TotalTHD),Voltage AN (FlkrPLT),Voltage BN (FlkrPLT),Voltage BN (FlkrPST),Voltage CN (FlkrPLT),Voltage CN (FlkrPST),Voltage AN (FlkrPST),Voltage AN (RMS),Voltage BN (RMS),Voltage CN (RMS),Voltage LineToNeutralAverage (RMS)
12:15.0,42,0.09269416332244873,42,0.13347579538822174,0.14583523571491241,0.12584491074085236,0.1781853437423706,36.05521774291992,39.94638442993164,26.074235916137695,5721.121788024902,-5291.4886474609375,2175.1301288604736,1.7862517833709717,1.8700120449066162,2.000148296356201,0.48313137888908386,0.467416912317276,0.07702518999576569,0.4455687999725342,0.07672086358070374,0.07897238433361053,14015.9609375,13994.9892578125,13988.7041015625,13999.8876953125
12:30.0,0,0.09367965906858444,0,0.19267940521240234,0.19817636907100677,0.18550920486450195,0.2163405567407608,34.35054016113281,39.883060455322266,25.811681747436523,4067.7847862243652,-2260.899066925049,1196.8458890914917,1.8103413581848145,1.838233470916748,1.9917702674865723,0.48313137888908386,0.467416912317276,0.41142773628234863,0.4455687999725342,0.4542597532272339,0.45373472571372986,14029.455078125,14015.888671875,14023.2451171875,14022.8662109375
12:45.0,0,0.09500357508659363,0,0.6626946926116943,0.6569461822509766,0.6530814170837402,0.655062735080719,33.86190414428711,38.50128173828125,25.16840171813965,14862.199783325195,6389.17875289917,-12006.651878356934,1.7662733793258667,1.8456813097000122,1.9606746435165405,0.48313137888908386,0.467416912317276,0.6699479818344116,0.4455687999725342,0.617814302444458,0.5436338782310486,14065.4609375,14058.248046875,14048.787109375,14057.505859375
13:00.0,180,0.09551995992660522,180,1.2964892387390137,1.2699860334396362,1.243701696395874,1.2697702646255493,35.835941314697266,39.20756912231445,25.644058227539062,45483.07800292969,8193.406105041504,-44731.693267822266,1.768775463104248,1.8441988229751587,1.9701318740844727,0.48313137888908386,0.467416912317276,0.6882479190826416,0.4455687999725342,0.6868605017662048,0.6608705520629883,14034.201171875,14034.7236328125,14029.5732421875,14032.833984375
13:15.0,45,0.0951281264424324,45,2.194014549255371,2.165541410446167,2.1336538791656494,2.1689577102661133,35.17287063598633,37.17008590698242,24.416107177734375,86152.99224853516,7912.192344665527,-85707.0083618164,1.7446975708007812,1.8483755588531494,1.9630770683288574,0.48313137888908386,0.467416912317276,0.28721997141838074,0.4455687999725342,0.34631094336509705,0.3332064151763916,14041.701171875,14033.1376953125,14037.2197265625,14037.3525390625
13:30.0,0,0.09245195984840393,0,5.027667999267578,5.003228664398193,4.969823360443115,5.0121941566467285,34.913124084472656,38.56781768798828,25.40475082397461,208962.82958984375,7652.776718139648,-208808.8836669922,1.7476003170013428,1.8343011140823364,1.9579174518585205,0.4604559540748596,0.4704441726207733,0.14950332045555115,0.491769403219223,0.14148692786693573,0.1511944681406021,14076.521484375,14055.8330078125,14060.3525390625,14064.234375
13:45.0,0,0.09511252492666245,0,6.400050640106201,6.377634048461914,6.346133708953857,6.386711597442627,33.515018463134766,37.334434509277344,24.833293914794922,267277.4353027344,8162.049293518066,-267119.3542480469,1.832131266593933,1.8492929935455322,1.9873340129852295,0.4604559540748596,0.4704441726207733,0.6494357585906982,0.491769403219223,0.539197564125061,0.6427540183067322,14070.5078125,14060.498046875,14056.5546875,14062.5224609375
14:00.0,56,0.09540767967700958,56,4.613348007202148,4.5920867919921875,4.561764717102051,4.601146221160889,34.807315826416016,39.05501937866211,25.822675704956055,191420.22705078125,8082.709312438965,-191223.29711914062,1.789422869682312,1.8115991353988647,1.9688537120819092,0.4604559540748596,0.4704441726207733,0.5709943771362305,0.491769403219223,0.5166985392570496,0.5712032914161682,14050.6025390625,14038.7900390625,14044.583984375,14044.666015625
14:15.0,49,0.0958278551697731,49,5.89619779586792,5.875988483428955,5.843228816986084,5.8885345458984375,35.13390350341797,38.60297775268555,25.749784469604492,246001.5411376953,7825.290203094482,-245867.08068847656,1.7883532047271729,1.8382035493850708,1.954340934753418,0.4604559540748596,0.4704441726207733,0.5508155226707458,0.491769403219223,0.56883704662323,0.5643064379692078,14064.349609375,14045.283203125,14054.45703125,14054.68359375
14:30.0,0,0.09519947320222855,0,7.840465545654297,7.82155704498291,7.788466453552246,7.835756778717041,35.396331787109375,39.496009826660156,26.307445526123047,327762.39013671875,9149.564743041992,-327630.9509277344,1.759426474571228,1.8228745460510254,1.9752707481384277,0.4604559540748596,0.4704441726207733,0.20379315316677094,0.491769403219223,0.1868496835231781,0.19993644952774048,14055.7734375,14027.845703125,14040.296875,14041.3037109375
14:45.0,0,0.1020868718624115,0,19.05129623413086,19.05947494506836,19.03725242614746,19.089874267578125,36.4810676574707,40.33025360107422,26.373184204101562,802980.46875,24353.98292541504,-802601.1352539062,1.7825160026550293,1.8277417421340942,1.988539457321167,0.4604559540748596,0.4704441726207733,0.22867795825004578,0.491769403219223,0.23823605477809906,0.22525441646575928,14075.7333984375,14047.6162109375,14052.279296875,14058.556640625
15:00.0,188,0.10681501030921936,188,22.940013885498047,22.960216522216797,22.95111083984375,22.98957061767578,34.96451950073242,37.488616943359375,25.65076446533203,968863.76953125,31767.738342285156,-968329.7119140625,1.775375247001648,1.8419123888015747,1.9680898189544678,0.4604559540748596,0.4704441726207733,0.5747842192649841,0.491769403219223,0.6298521757125854,0.6304203271865845,14089.5732421875,14061.716796875,14081.732421875,14077.6689453125
15:15.0,52,0.11431480944156647,52,27.445877075195312,27.472768783569336,27.467708587646484,27.504703521728516,34.79837417602539,38.72698211669922,26.10260009765625,1159829.345703125,42464.786529541016,-1159028.4423828125,1.7762539386749268,1.8371680974960327,1.9677866697311401,0.4604559540748596,0.4704441726207733,0.5574779510498047,0.491769403219223,0.5341861844062805,0.5387160778045654,14093.3076171875,14068.3125,14084.22265625,14081.9501953125
